make,model,price,mpg,rep77,rep78,headroom,rear_seat,trunk_space,weight,length,turn_circle,displacement,gear_ratio,foreign
Mercury,Monarch,4516,18,,3,3.0,27.0,15,3370,198,41,250,2.43,domestic
Mercury,Zephyr,3291,20,3,3,3.5,29.0,17,2830,195,43,140,3.08,domestic
Oldsmobile,98,8814,21,4,4,4.0,31.5,20,4060,220,43,350,2.41,domestic
Oldsmobile,Cutlass,4733,19,3,3,4.5,28.0,16,3300,198,42,231,2.93,domestic
Oldsmobile,Cutlass Supreme,5172,19,4,3,2.0,28.0,16,3310,198,42,231,2.93,domestic
Oldsmobile,Delta 88,5890,18,4,4,4.0,29.0,20,3690,218,43,231,2.73,domestic
Oldsmobile,Omega,4181,19,3,3,4.5,27.0,14,3370,200,40,231,3.08,domestic
Oldsmobile,Starfire,4195,24,1,1,2.0,25.5,10,2730,180,43,151,2.73,domestic
Oldsmobile,Toronado,10371,16,3,3,3.5,30.0,17,4030,206,38,350,2.41,domestic
Peugeot,604 SL,12990,14,,,3.5,30.5,14,3420,192,37,163,3.58,foreign
Plymouth,Arrow,4647,28,3,3,2.0,21.5,11,2360,170,37,156,3.05,domestic
Plymouth,Champ,4425,34,4,5,2.5,23.0,11,1800,157,36,86,2.97,domestic
Plymouth,Horizon,4482,25,,3,4.0,25.0,17,2200,165,38,105,3.37,domestic
Plymouth,Sapporo,6486,26,,,1.5,22.0,8,2520,182,44,119,3.54,domestic
Plymouth,Volare,4060,18,2,2,5.0,31.0,16,3330,201,42,225,3.23,domestic
Pontiac,Catalina,5798,18,4,4,4.0,29.0,20,3700,214,42,231,2.73,domestic
Pontiac,Firebird,4934,18,2,1,1.5,23.5,7,3470,198,45,231,3.08,domestic
Pontiac,Grand Prix,5222,19,3,3,2.0,28.5,16,3210,201,40,231,2.93,domestic
Pontiac,Le Mans,4723,19,3,3,3.5,28.0,17,3200,199,43,231,2.93,domestic
Pontiac,Phoenix,4424,19,,,3.5,27.0,13,3420,203,41,231,3.08,domestic
Pontiac,Sunbird,4172,24,2,2,2.0,25.0,7,2690,179,34,151,2.73,domestic
Renault,Le Car,3895,26,3,3,3.0,23.0,10,1830,142,36,79,3.72,foreign
Subaru,Subaru,3798,35,4,5,2.5,25.5,11,2050,164,36,97,3.81,foreign
Toyota,Celica,5899,18,5,5,2.5,22.0,14,2410,174,35,134,3.06,foreign
Toyota,Corolla,3748,31,5,5,3.0,24.5,9,2200,165,35,97,3.21,foreign
Toyota,Corona,5719,18,5,5,2.0,23.0,11,2670,175,36,134,3.05,foreign
VW,Rabbit,4697,25,3,4,3.0,25.5,15,1930,155,35,89,3.78,foreign
VW,Rabbit Diesel,5397,41,4,5,3.0,25.5,15,2040,155,35,90,3.78,foreign
VW,Scirocco,6850,25,3,4,2.0,23.5,16,1990,156,36,97,3.78,foreign
VW,Dasher,7140,23,3,4,2.5,37.5,12,2160,172,36,97,3.74,foreign
Volvo,260,11995,17,3,5,2.5,29.5,14,3170,193,37,163,2.98,foreign
