county,year,crmrte,prbarr,prbconv,prbpris,avgsen,polpc,density,taxpc,west,central,urban,pctmin80,wcon,wtuc,wtrd,wfir,wser,wmfg,wfed,wsta,wloc,mix,pctymle,d82,d83,d84,d85,d86,d87
3,86,0.012998,0.156069,1.03704,0.392857,6.03,0.000676,1.034749,26.599594,0,1,0,7.91632,241.545898,336.810089,181.673172,260.756195,228.161667,279.380005,420.769989,334.720001,279.25,0.051672,0.083637,0,0,0,0,1,0
3,87,0.015253,0.132029,1.48148,0.45,6.35,0.000746,1.046332,26.892078,0,1,0,7.91632,255.102036,376.254181,196.010101,258.564972,192.307693,300.380005,409.829987,362.959991,301.470001,0.030227,0.082607,0,0,0,0,0,1
5,81,0.009337,0.406593,0.27027,0.5,5.53,0.000821,0.412766,18.630598,1,0,0,3.16053,147.929001,284.900299,143.513199,200.320511,158.227844,157.240005,318.959991,233.330002,191.979996,0.083333,0.073853,0,0,0,0,0,0
5,82,0.012323,0.38,0.736842,0.392857,9.7,0.001356,0.417021,19.522532,1,0,0,3.16053,147.929001,343.406586,160.752563,213.675217,166.70636,164.619995,314.609985,247.589996,188.479996,0.020408,0.073795,1,0,0,0,0,0
5,83,0.012806,0.561905,0.559322,0.272727,6.34,0.001342,0.417021,19.243347,1,0,0,3.16053,169.683258,2109.181152,165.950806,196.232346,174.82518,178.169998,330.5,250.169998,202.070007,0.3125,0.073874,0,1,0,0,0,0
5,84,0.01383,0.666667,0.447368,0.411765,5.72,0.001334,0.417021,24.153919,1,0,0,3.16053,183.946487,328.3302,167.224075,209.030106,180.995468,192.169998,340.429993,259.48999,210.559998,0.163265,0.073863,0,0,1,0,0,0
5,85,0.012475,0.60396,0.180328,0.545455,10.04,0.001482,0.412766,27.503681,1,0,0,3.16053,204.91803,254.524887,200.156982,218.531464,190.625702,192.600006,373.059998,277.23999,242.610001,0.278481,0.073643,0,0,0,1,0,0
5,86,0.014239,0.695652,0.270833,0.269231,5.12,0.001135,0.412766,43.606216,1,0,0,3.16053,212.201599,302.197815,215.415955,240.384613,196.350189,216.690002,383.779999,399.690002,267.170013,0.408163,0.072817,0,0,0,0,1,0
5,87,0.01296,0.444444,0.267857,0.6,6.76,0.001234,0.412766,34.816051,1,0,0,3.16053,226.94696,372.208435,229.320892,305.944061,209.69722,237.649994,358.980011,331.529999,281.369995,0.465116,0.072115,0,0,0,0,0,1
7,81,0.021916,0.431095,0.627049,0.431373,6,0.001433,0.482176,38.244728,0,1,0,47.9161,284.580902,307.377045,174.245651,207.100586,208.463623,215.570007,348.269989,206.070007,208.75,0.328638,0.083638,0,0,0,0,0,0
7,82,0.017381,0.612335,0.582734,0.37037,6.11,0.001416,0.487805,55.985161,0,1,0,47.9161,308.417999,326.175598,181.708054,212.104065,239.67131,219.559998,355.160004,226.520004,230.820007,0.247253,0.082178,1,0,0,0,0,0
7,83,0.024211,0.419405,0.787313,0.236967,6.37,0.00144,0.489681,44.003792,0,1,0,47.9161,275.851196,575.568787,187.241165,242.165237,245.261978,231.089996,367.799988,234.729996,240.470001,0.20794,0.080645,0,1,0,0,0,0
7,84,0.022343,0.412458,0.497959,0.442623,8.77,0.001505,0.491557,39.473248,0,1,0,47.9161,297.766754,376.402954,187.768234,255.275696,267.379669,247.550003,365.410004,252.210007,243.929993,0.2375,0.07906,0,0,1,0,0,0
7,85,0.024585,0.380655,0.381148,0.483871,11.36,0.001534,0.493433,47.009041,0,1,0,47.9161,291.191467,358.644562,196.356277,268.336304,279.720276,253.550003,392.049988,277.01001,260.929993,0.225621,0.077456,0,0,0,1,0,0
7,86,0.024128,0.308057,0.615385,0.483333,8.94,0.00141,0.493433,38.907627,0,1,0,47.9161,353.218201,365.49707,197.036575,290.88559,259.615387,275.950012,392.359985,331.410004,276.149994,0.329832,0.07549,0,0,0,0,1,0
7,87,0.026753,0.36476,0.525424,0.435484,7.14,0.00153,0.491557,42.947586,0,1,0,47.9161,375.234528,397.690125,191.172012,281.065094,256.721436,281.799988,412.149994,328.269989,299.029999,0.273622,0.073537,0,0,0,0,0,1
9,81,0.007518,0.631579,0.555556,0.383333,7.04,0.000835,0.530516,16.853212,1,0,0,1.79619,195.936142,274.725281,152.735352,209.030106,178.778503,202.039993,270.570007,234.75,223.570007,0.089172,0.079058,0,0,0,0,0,0
9,82,0.008737,0.567164,0.640351,0.356164,9.95,0.000739,0.535211,17.203657,1,0,0,1.79619,395.927612,28.857697,149.326019,235.04274,180.570602,204.660004,287.119995,270.160004,218.160004,0.369863,0.077855,1,0,0,0,0,0
9,83,0.01368,0.377358,0.525,0.428571,7.16,0.00086,0.539906,17.97514,1,0,0,1.79619,216.159805,1035.50293,152.682861,255.102036,184.826614,235.729996,316.5,273.470001,243.479996,0.085324,0.076492,0,1,0,0,0,0
9,84,0.014326,0.41018,0.664234,0.395604,10.6,0.000901,0.544601,22.246586,1,0,0,1.79619,223.8806,310.559021,177.806931,261.389099,208.025146,245.880005,318.890015,291.720001,262.940002,0.084416,0.075282,0,0,1,0,0,0
9,85,0.013317,0.393548,0.622951,0.407895,9.23,0.000902,0.549296,25.17329,1,0,0,1.79619,256.410248,313.545166,194.708206,277.366852,216.076065,265.98999,348.600006,316.619995,296.98999,0.091549,0.073936,0,0,0,1,0,0
9,86,0.011442,0.462687,0.596774,0.445946,6.73,0.000854,0.544601,27.28459,1,0,0,1.79619,265.455414,313.545166,202.169632,298.730408,219.780212,277.149994,365.109985,337.480011,313.600006,0.063492,0.072318,0,0,0,0,1,0
9,87,0.010623,0.518219,0.476563,0.442623,8.22,0.00086,0.546948,28.054739,1,0,0,1.79619,292.307678,377.312561,206.821487,289.312469,215.193329,290.890015,377.350006,367.230011,342.820007,0.060086,0.070698,0,0,0,0,0,1
11,81,0.018847,0.36965,0.557895,0.226415,9.93,0.001907,0.591093,22.321438,1,0,0,1.5407,199.237701,315.504822,150.583511,195.3125,176.539154,187.199997,266.619995,227.690002,209.270004,0.184332,0.106333,0,0,0,0,0,0
11,82,0.019854,0.425856,0.196429,0.363636,4.32,0.001359,0.595142,22.880707,1,0,0,1.5407,215.96051,320.512817,158.700516,205.272263,197.668182,173.320007,290.170013,247.690002,225.779999,0.276699,0.104969,1,0,0,0,0,0
11,83,0.019167,0.354244,0.354167,0.323529,13.44,0.00198,0.59919,24.651804,1,0,0,1.5407,213.052261,915.750916,169.185654,177.675583,203.791168,199.880005,325.859985,239.669998,227.940002,0.115226,0.103803,0,1,0,0,0,0
11,84,0.016804,0.446429,0.21,0.380952,7.16,0.002551,0.607287,29.730967,1,0,0,1.5407,230.970078,360.576935,169.390198,241.75824,209.16095,212.339996,340.769989,257.890015,227.539993,0.051643,0.102465,0,0,1,0,0,0
11,85,0.014119,0.530806,0.455357,0.27451,7.85,0.002476,0.607287,31.623087,1,0,0,1.5407,229.831146,364.132904,181.244705,303.643738,224.26944,205.470001,365.970001,282.339996,246.759995,0.263473,0.101255,0,0,0,1,0,0
11,86,0.017008,0.401544,0.211538,0.363636,13.87,0.002824,0.607287,33.686325,1,0,0,1.5407,234.283478,384.615387,183.37999,260.329193,217.804199,207.100006,367.850006,309.450012,252.699997,0.295,0.099947,0,0,0,0,1,0
11,87,0.014607,0.524664,0.068376,0.5,13,0.002882,0.611336,35.22974,1,0,0,1.5407,250.400635,401.337799,187.8255,258.564972,237.150742,258.600006,391.480011,325.709991,275.220001,0.319527,0.098919,0,0,0,0,0,1
13,81,0.030049,0.319665,0.481675,0.5,11.77,0.001207,0.497579,20.102839,0,0,0,32.179401,192.693085,270.655273,172.928894,230.111771,182.908234,214.929993,377.75,247.949997,199.330002,0.179664,0.079339,0,0,0,0,0,0
13,82,0.036326,0.332885,0.430303,0.497653,5.32,0.001344,0.504843,22.522884,0,0,0,32.179401,205.612,286.41571,172.46431,241.069473,198.321304,221.539993,381.690002,272.440002,209.869995,0.13772,0.077981,1,0,0,0,0,0
13,83,0.032527,0.326021,0.491879,0.485849,6.97,0.001476,0.509685,24.681601,0,0,0,32.179401,193.274063,1268.216187,178.423126,241.75824,208.483109,240.259995,389.799988,273.799988,216.399994,0.12415,0.076545,0,1,0,0,0,0
13,84,0.030127,0.302176,0.522667,0.423469,8.89,0.001214,0.514528,27.702269,0,0,0,32.179401,240.384613,320.512817,184.94577,275.453979,223.85022,262.75,392.410004,294.950012,220,0.15873,0.075188,0,0,1,0,0,0
13,85,0.034979,0.298962,0.381944,0.454545,7.32,0.001356,0.524213,29.297892,0,0,0,32.179401,246.30542,331.247711,192.812149,280.059753,231.760956,270.01001,427.700012,324.809998,244.130005,0.098024,0.0738,0,0,0,1,0,0
13,86,0.033536,0.309206,0.522727,0.430435,10.8,0.001273,0.516949,29.72961,0,0,0,32.179401,244.31105,359.49411,280.417389,288.461548,243.398392,287.420013,439.480011,349.720001,260.269989,0.13749,0.072228,0,0,0,0,1,0
13,87,0.029641,0.365004,0.520607,0.420833,10.55,0.001338,0.516949,30.696487,0,0,0,32.179401,238.306366,366.300354,205.535767,310.173706,259.33905,303.420013,449.839996,350.720001,283.76001,0.152372,0.070733,0,0,0,0,0,1
15,81,0.016805,0.453258,0.575,0.48913,8.83,0.000952,0.300999,21.631237,0,0,0,61.054001,192.307693,151.821869,164.621368,253.59256,169.683258,183.169998,320,253.389999,191.009995,0.24735,0.090543,0,0,0,0,0,0
15,82,0.020005,0.444706,0.37037,0.442857,9.48,0.000847,0.302425,23.057812,0,0,0,61.054001,188.536957,169.683258,179.184326,263.951721,188.34259,200.529999,347.440002,265.440002,204.610001,0.303681,0.087408,1,0,0,0,0,0
15,83,0.014209,0.383607,0.820513,0.604167,10.95,0.000885,0.305278,25.774738,0,0,0,61.054001,181.422348,2129.12085,178.222382,320.512817,182.735809,207.669998,344.48999,269.429993,215.550003,0.205534,0.084208,0,1,0,0,0,0
15,84,0.016346,0.345714,0.487603,0.457627,7.52,0.000934,0.303852,26.605526,0,0,0,61.054001,160.256409,320.512817,181.096924,336.071686,167.887665,211.470001,360.26001,281.559998,228.240005,0.186441,0.08108,0,0,1,0,0,0
15,85,0.016013,0.423977,0.565517,0.47561,16.68,0.00089,0.305278,67.581573,0,0,0,61.054001,210.748154,325.0271,193.817963,326.923065,172.318726,217.009995,380.329987,317.339996,261.01001,0.285714,0.078271,0,0,0,1,0,0
15,86,0.019446,0.419277,0.626437,0.412844,12,0.000937,0.302425,33.260635,0,0,0,61.054001,230.769226,328.947357,203.851059,373.412994,210.655075,231.279999,405.700012,260.149994,282.649994,0.269113,0.076274,0,0,0,0,1,0
15,87,0.020281,0.392111,0.769231,0.507692,10.64,0.001035,0.300999,34.003036,0,0,0,61.054001,253.59256,353.218201,199.237701,356.125366,206.281601,235.050003,416.48999,370.619995,297.130005,0.234957,0.074305,0,0,0,0,0,1
17,81,0.018647,0.483986,0.463235,0.460317,7.93,0.001327,0.349261,24.735121,0,0,0,40.389,162.6483,279.941589,178.464203,202.429153,161.216034,235.610001,319.779999,226.580002,199.029999,0.338095,0.085953,0,0,0,0,0,0
17,82,0.021159,0.420155,0.476015,0.387597,5.5,0.001345,0.349261,24.067345,0,0,0,40.389,166.191833,289.089996,173.392181,217.121582,162.152939,255.619995,338.700012,219.720001,204.179993,0.288,0.084344,1,0,0,0,0,0
17,83,0.020291,0.3632,0.546256,0.427419,9.93,0.001299,0.348123,25.501032,0,0,0,40.389,165.623856,1320.512817,172.240799,238.521164,182.264542,283.190002,355.359985,223.729996,190.149994,0.157407,0.082674,0,1,0,0,0,0
17,84,0.017928,0.422383,0.581197,0.404412,7.18,0.001262,0.350398,28.175304,0,0,0,40.389,165.26442,306.222443,185.43956,259.875275,196.153839,297.230011,356.429993,249.929993,210.429993,0.259091,0.081045,0,0,1,0,0,0
17,85,0.019696,0.464463,0.30605,0.453488,9.69,0.001367,0.350398,30.73238,0,0,0,40.389,174.82518,299.700287,190.501221,249.750244,201.888855,290.700012,377.220001,269.76001,219.350006,0.344444,0.079655,0,0,0,1,0,0
17,86,0.018588,0.395257,0.62,0.395161,7.56,0.001433,0.350398,33.031826,0,0,0,40.389,185.505814,324.675323,200.654938,258.323761,200.918488,307.959991,379.899994,299.420013,280.940002,0.249383,0.078656,0,0,0,0,1,0
17,87,0.030429,0.251599,0.436441,0.436893,7.32,0.001298,0.350398,34.962036,0,0,0,40.389,193.643158,346.601074,202.959473,268.336304,208.251984,339.76001,389.51001,322.059998,278.390015,0.218182,0.077692,0,0,0,0,0,1
19,81,0.022534,0.326196,0.505792,0.40458,9.56,0.00193,0.433721,53.866825,0,0,0,24.311701,207.100586,450.230347,144.747726,211.472382,174.047028,419.459991,375.850006,238.669998,205.690002,0.206373,0.082494,0,0,0,0,0,0
19,82,0.018378,0.189313,1.12903,0.435714,8.26,0.001936,0.453488,56.802685,0,0,0,24.311701,225.22522,489.003754,139.99411,211.538467,194.195709,428.160004,368.820007,265.380005,187.419998,0.106419,0.082204,1,0,0,0,0,0
19,83,0.014527,0.232283,0.855932,0.356436,10.37,0.002173,0.476744,62.590233,0,0,0,24.311701,233.216095,139.492294,151.669525,244.631699,218.48674,477.160004,359.839996,211.690002,223.910004,0.043121,0.081939,0,1,0,0,0,0
19,84,0.013686,0.217308,1.04425,0.457627,8.16,0.001948,0.504651,108.015663,0,0,0,24.311701,224.406311,552.056519,158.021759,249.200684,223.523972,492.51001,403.76001,206.960007,244.75,0.042084,0.081595,0,0,1,0,0,0
19,85,0.012851,0.291667,1.22078,0.356383,7.85,0.001874,0.530233,74.154984,0,0,0,24.311701,255.598831,582.778748,162.20665,282.104248,221.663071,517.630005,426.730011,221.330002,275.350006,0.053892,0.080878,0,0,0,1,0,0
19,86,0.017434,0.244819,0.84127,0.36478,6.74,0.001784,0.555814,59.508602,0,0,0,24.311701,247.218796,594.494324,165.664032,283.968353,246.447479,533.830017,408.630005,246.429993,275.970001,0.082749,0.078943,0,0,0,0,1,0
19,87,0.022157,0.16286,1.22561,0.333333,10.34,0.002024,0.576744,61.152512,0,0,0,24.311701,260.138092,613.226074,191.245224,290.514099,266.093414,567.059998,403.149994,258.329987,299.440002,0.053347,0.077132,0,0,0,0,0,1
21,81,0.035035,0.262854,0.291417,0.541096,9.43,0.001801,2.461305,25.49358,1,0,1,9.62444,231.922577,346.762665,183.743179,256.536926,217.289063,275.75,381.160004,274.200012,224.419998,0.074005,0.079568,0,0,0,0,0,0
21,82,0.03679,0.240573,0.297741,0.565517,7.01,0.001769,2.485584,24.504072,1,0,1,9.62444,241.853012,369.214264,197.056671,285.118774,237.954224,293.619995,393.660004,291.589996,238.059998,0.064318,0.078961,1,0,0,0,0,0
21,83,0.036607,0.245824,0.307129,0.611714,8.89,0.001679,2.497724,28.441284,1,0,1,9.62444,247.787613,1165.393188,202.762024,301.659119,251.256287,311.459991,411.519989,295.98999,249.979996,0.077846,0.078366,0,1,0,0,0,0
21,84,0.03844,0.250543,0.296778,0.559499,8.06,0.001772,2.52352,29.683155,1,0,1,9.62444,262.515259,410.653442,207.643448,299.5625,267.439636,333.589996,449.820007,318.149994,245.699997,0.080872,0.077789,0,0,1,0,0,0
21,85,0.04133,0.258131,0.272985,0.469854,9.88,0.001913,2.555387,45.852718,1,0,1,9.62444,262.634125,421.664886,217.640961,315.972992,283.192841,344.25,460.940002,341.470001,241.350006,0.08885,0.076782,0,0,0,1,0,0
21,86,0.044164,0.248385,0.288191,0.413534,11.01,0.001872,2.579666,40.033249,1,0,1,9.62444,289.086731,419.700165,219.642975,331.6409,290.305603,366.109985,471.029999,370.890015,281.429993,0.078978,0.074468,0,0,0,0,1,0
21,87,0.043736,0.23476,0.334701,0.429072,10.62,0.00183,2.602428,52.626293,1,0,1,9.62444,313.473755,433.857971,228.174026,363.767059,318.363525,378.899994,496.130005,381.299988,335.359985,0.062893,0.072197,0,0,0,0,0,1
23,81,0.031918,0.194303,0.28884,0.439394,9.45,0.001425,1.452381,17.688126,1,0,0,7.93198,194.652908,322.852325,165.680466,248.296005,221.49057,243.139999,379.309998,249.190002,226.039993,0.087379,0.09018,0,0,0,0,0,0
23,82,0.029021,0.286639,0.277419,0.47093,6.38,0.001369,1.470238,18.245087,1,0,0,7.93198,203.073013,336.832214,179.220718,263.647644,236.508896,251.490005,407.540009,269.649994,258.709991,0.082041,0.089983,1,0,0,0,0,0
23,83,0.028616,0.280522,0.307309,0.356757,6.63,0.001373,1.468254,18.51124,1,0,0,7.93198,227.358841,1109.036621,181.146164,286.731262,250.258652,283.079987,419.48999,273.089996,283.730011,0.071393,0.089767,0,1,0,0,0,0
23,84,0.02755,0.334615,0.310345,0.393519,6.07,0.001364,1.484127,19.888422,1,0,0,7.93198,246.491379,378.68808,195.518555,294.004242,269.192047,300.100006,434.540009,292.690002,253.580002,0.093586,0.089529,0,0,1,0,0,0
23,85,0.02931,0.287442,0.294498,0.472527,5.66,0.001404,1.501984,20.912012,1,0,0,7.93198,240.993179,363.744781,197.860733,315.867706,282.315887,303.809998,458.859985,319.609985,276.75,0.094705,0.088762,0,0,0,1,0,0
23,86,0.025625,0.304577,0.322971,0.385027,4.68,0.001388,1.507936,24.314465,1,0,0,7.93198,259.263,387.304993,201.415634,317.401031,293.757172,313.040009,463.73999,344.820007,296.839996,0.093157,0.086369,0,0,0,0,1,0
23,87,0.026984,0.289121,0.40378,0.365957,7.07,0.001461,1.511905,29.082804,1,0,0,7.93198,284.988983,400.739838,213.184006,325.0271,315.024231,327.450012,463.670013,361.209991,308.320007,0.084006,0.083978,0,0,0,0,0,1
25,81,0.036069,0.255969,0.458955,0.617886,9.06,0.001585,2.406593,18.937586,0,1,0,15.0998,226.244339,280.722015,176.687027,247.54744,218.821869,224.940002,411.140015,274.570007,242.809998,0.068004,0.083775,0,0,0,0,0,0
25,82,0.037092,0.256811,0.43385,0.626374,8.25,0.001612,2.450549,19.719141,0,1,0,15.0998,239.867661,319.193848,194.638092,263.132019,245.431808,225.550003,418.230011,295.170013,264.25,0.077862,0.082722,1,0,0,0,0,0
25,83,0.031214,0.291217,0.372064,0.598007,7.38,0.001685,2.478022,21.832508,0,1,0,15.0998,259.138031,1378.986816,191.169785,286.910675,258.434296,271.959991,441.279999,298.459991,276.839996,0.06723,0.081672,0,1,0,0,0,0
25,84,0.029444,0.277323,0.41555,0.554839,8.15,0.001653,2.510989,26.468939,0,1,0,15.0998,269.867035,357.314911,204.839401,308.105865,271.602325,284.019989,451.920013,328.170013,290.059998,0.073852,0.080657,0,0,1,0,0,0
25,85,0.030507,0.282043,0.453287,0.544529,6.85,0.001608,2.532967,29.412935,0,1,0,15.0998,282.190643,373.247437,204.275925,326.745941,283.324005,287.640015,464.940002,359.480011,309.970001,0.071827,0.079486,0,0,0,1,0,0
25,86,0.031933,0.301602,0.320735,0.493631,7.88,0.0018,2.546703,31.01947,0,1,0,15.0998,271.113739,377.808044,211.157211,341.423279,297.712494,322.649994,475.98999,387.920013,328.829987,0.07519,0.077935,0,0,0,0,1,0
25,87,0.030254,0.323548,0.40678,0.492647,8.01,0.001971,2.574176,33.036205,0,1,0,15.0998,315.729034,384.615387,220.589722,358.632813,318.033539,355.589996,486.359985,411.079987,357.440002,0.088483,0.076415,0,0,0,0,0,1
27,81,0.035335,0.26433,0.230889,0.547297,7.39,0.001384,1.44586,18.622408,1,0,0,6.45795,221.07814,325.054504,173.464661,218.88681,209.997101,215.75,368.730011,204.429993,226.130005,0.137963,0.088797,0,0,0,0,0,0
27,82,0.037154,0.303606,0.206897,0.364198,8,0.001369,1.447983,18.931225,1,0,0,6.45795,223.102066,350.713104,183.617401,230.340683,223.566544,219.970001,369.769989,211.220001,176.589996,0.133128,0.088732,1,0,0,0,0,0
27,83,0.029441,0.244152,0.40519,0.433498,8.54,0.001435,1.43949,18.747374,1,0,0,6.45795,218.59436,531.475342,189.892105,249.681259,237.875381,251.630005,395.540009,210.940002,227.630005,0.126235,0.088664,0,1,0,0,0,0
27,84,0.030037,0.247358,0.339806,0.4,8.47,0.001443,1.464968,25.429314,1,0,0,6.45795,248.610703,371.733521,204.766373,264.049408,251.427017,262.51001,417.920013,232.610001,244.820007,0.126014,0.088577,0,0,1,0,0,0
27,85,0.035528,0.221862,0.357664,0.505102,10.31,0.001424,1.492569,25.134924,1,0,0,6.45795,253.326279,394.522675,205.135742,279.461914,256.4711,268.480011,441.350006,245.929993,273.589996,0.117647,0.087978,0,0,0,1,0,0
27,86,0.036674,0.217357,0.316547,0.397727,8.28,0.001391,1.488323,27.321312,1,0,0,6.45795,268.586151,415.896484,203.422531,302.706543,268.88269,295.079987,437.980011,268.5,287.26001,0.113626,0.085749,0,0,0,0,1,0
27,87,0.038249,0.268018,0.352941,0.321429,11.69,0.00145,1.498938,43.063393,1,0,0,6.45795,292.735046,428.502319,213.462021,316.943634,292.351715,309.269989,450.279999,283.600006,310.850006,0.089571,0.083539,0,0,0,0,0,1
33,81,0.020039,0.484561,0.303922,0.5,16.4,0.000619,0.495327,22.2749,0,1,0,43.916901,192.307693,192.307693,162.613129,192.307693,174.82518,237.589996,303.630005,264.339996,200.839996,0.559259,0.093962,0,0,0,0,0,0
33,82,0.014448,0.485342,0.47651,0.478873,6.54,0.000659,0.504673,28.978296,0,1,0,43.916901,199.800201,205.128204,165.040176,256.410248,192.307693,212.160004,308.859985,286.220001,210.520004,0.145522,0.091691,1,0,0,0,0,0
33,83,0.016115,0.248555,0.872093,0.52,9.14,0.000652,0.509346,26.02322,0,1,0,43.916901,196.678329,574.425598,176.92308,265.251984,184.615387,279.950012,310.410004,293,204.809998,0.101911,0.089523,0,1,0,0,0,0
33,84,0.01415,0.259615,0.938272,0.421053,8.97,0.000544,0.516355,23.88866,0,1,0,43.916901,184.12439,210.748154,189.933517,300.480774,189.393936,286.179993,308.5,315.859985,231.990005,0.083333,0.08732,0,0,1,0,0,0
33,85,0.01538,0.21791,1.30137,0.484211,6.87,0.00078,0.523364,26.737888,0,1,0,43.916901,184.91124,258.323761,179.39151,339.366516,190.943802,268.359985,341.600006,347.109985,252.119995,0.116667,0.085196,0,0,0,1,0,0
33,86,0.015372,0.255072,1.04545,0.413043,7,0.000802,0.525701,26.968973,0,1,0,43.916901,206.611572,245.499176,186.567169,343.406586,187.312683,295.880005,347.600006,379.959991,235.339996,0.123778,0.082527,0,0,0,0,1,0
33,87,0.015919,0.27095,0.515464,0.48,7.32,0.000756,0.525701,27.381098,0,1,0,43.916901,218.88681,286.41571,195.199539,368.248779,172.473267,324.450012,357.160004,407.540009,268.440002,0.151125,0.080052,0,0,0,0,0,1
35,81,0.041414,0.287653,0.252358,0.53271,11.52,0.001751,2.694444,26.457506,0,1,0,10.0838,244.666275,330.995667,208.342789,250.836121,224.079636,243.860001,449.070007,256.600006,226.479996,0.186477,0.085872,0,0,0,0,0,0
35,82,0.048956,0.239077,0.234968,0.457912,6.23,0.00175,2.724747,28.318563,0,1,0,10.0838,252.919662,358.045502,217.380356,263.53833,240.559448,253.289993,459.690002,277.399994,237.429993,0.156605,0.084943,1,0,0,0,0,0
35,83,0.041208,0.285427,0.246672,0.511111,7.89,0.001722,2.760101,26.403854,0,1,0,10.0838,258.595581,1230.355713,229.410858,286.253723,248.435776,274.649994,493.850006,273.380005,248.919998,0.20658,0.084036,0,1,0,0,0,0
35,84,0.040471,0.282276,0.27012,0.39233,7.47,0.001757,2.800505,29.198566,0,1,0,10.0838,276.726929,391.158386,232.910767,310.997589,256.586212,291.690002,507.399994,292.410004,264.559998,0.1856,0.083153,0,0,1,0,0,0
35,85,0.045549,0.260844,0.299924,0.450633,8.76,0.001786,2.84596,31.643366,0,1,0,10.0838,296.423309,432.632874,247.092133,316.990692,277.594574,305.480011,522.419983,314.380005,276.380005,0.156436,0.082083,0,0,0,1,0,0
35,86,0.041706,0.252281,0.284272,0.449704,8.26,0.001947,2.883838,32.366611,0,1,0,10.0838,323.083099,454.059814,255.926468,339.82605,3.336744,327.029999,511.679993,341.429993,305.690002,0.179725,0.080455,0,0,0,0,1,0
35,87,0.040857,0.266026,0.325301,0.37037,10.06,0.001894,2.924242,56.862106,0,1,0,10.0838,346.588837,469.221985,277.292511,359.311737,296.849091,341.320007,525.51001,360.679993,333.320007,0.181222,0.078911,0,0,0,0,0,1
37,81,0.022303,0.238786,0.712707,0.341085,12.26,0.001089,0.480226,18.730179,0,1,0,27.807899,184.615387,295.056915,166.861343,213.675217,160.962387,230.229996,363.119995,264.670013,216.279999,0.08596,0.082211,0,0,0,0,0,0
37,82,0.020131,0.325145,0.466667,0.390476,9.03,0.001164,0.484463,20.979656,0,1,0,27.807899,191.475189,316.742096,173.805786,234.521576,172.285339,235.830002,394.73999,289.019989,230.759995,0.074534,0.080987,1,0,0,0,0,0
