Input A: X+57, Y+16
Input A: X+23, Y+52
Input B: X+97, Y+45
Output: X=7376, Y=5695

Input A: X+61, Y+12
Input B: X+61, Y+93
Output: X=8174, Y=9384

Input A: X+54, Y+23
Input B: X+15, Y+84
Output: X=4377, Y=5512

Input A: X+55, Y+24
Input B: X+13, Y+48
Output: X=1350, Y=272

Input A: X+94, Y+17
Input B: X+65, Y+83
Output: X=13298, Y=8532

Input A: X+58, Y+82
Input B: X+73, Y+22
Output: X=6667, Y=7558

Input A: X+73, Y+46
Input B: X+21, Y+69
Output: X=7153, Y=8188

Input A: X+70, Y+22
Input B: X+47, Y+89
Output: X=8181, Y=5763

Input A: X+49, Y+17
Input B: X+17, Y+36
Output: X=12882, Y=18606

Input A: X+70, Y+28
Input B: X+14, Y+52
Output: X=3766, Y=5636

Input A: X+27, Y+71
Input B: X+89, Y+59
Output: X=1525, Y=3135

Input A: X+43, Y+15
Input B: X+23, Y+44
Output: X=9914, Y=3418

Input A: X+15, Y+58
Input B: X+67, Y+23
Output: X=5115, Y=8649

Input A: X+47, Y+68
Input B: X+24, Y+11
Output: X=3464, Y=12221

Input A: X+36, Y+87
Input B: X+76, Y+25
Output: X=7856, Y=5816

Input A: X+93, Y+28
Input B: X+37, Y+66
Output: X=11030, Y=8368

Input A: X+13, Y+89
Input B: X+60, Y+15
Output: X=4751, Y=5218

Input A: X+13, Y+24
Input B: X+83, Y+25
Output: X=3864, Y=2389

Input A: X+71, Y+14
Input B: X+18, Y+67
Output: X=12041, Y=14559

Input A: X+17, Y+55
Input B: X+62, Y+30
Output: X=4799, Y=3585

Input A: X+93, Y+18
Input B: X+13, Y+62
Output: X=7497, Y=3414

Input A: X+25, Y+70
Input B: X+76, Y+50
Output: X=4854, Y=4800

Input A: X+29, Y+54
Input B: X+48, Y+28
Output: X=16161, Y=7766

Input A: X+84, Y+90
Input B: X+74, Y+11
Output: X=11694, Y=8637

Input A: X+41, Y+13
Input B: X+20, Y+81
Output: X=773, Y=1141

Input A: X+27, Y+91
Input B: X+71, Y+24
Output: X=8296, Y=10091

Input A: X+50, Y+47
Input B: X+17, Y+67
Output: X=5512, Y=7018

Input A: X+47, Y+94
Input B: X+76, Y+13
Output: X=6207, Y=6993

Input A: X+57, Y+12
Input B: X+29, Y+72
Output: X=7908, Y=13772

Input A: X+11, Y+67
Input B: X+60, Y+21
Output: X=10797, Y=9382

Input A: X+13, Y+68
Input B: X+76, Y+68
Output: X=5915, Y=9520

Input A: X+20, Y+55
Input B: X+64, Y+14
Output: X=3528, Y=2898

Input A: X+72, Y+59
Input B: X+17, Y+68
Output: X=3139, Y=3167

Input A: X+24, Y+53
Input B: X+38, Y+21
Output: X=7916, Y=17887

Input A: X+93, Y+97
Input B: X+13, Y+99
Output: X=9641, Y=15353

Input A: X+15, Y+97
Input B: X+89, Y+34
Output: X=2353, Y=6010

Input A: X+78, Y+39
Input B: X+58, Y+90
Output: X=6764, Y=8445

Input A: X+12, Y+43
Input B: X+65, Y+11
Output: X=5332, Y=5298

Input A: X+71, Y+17
Input B: X+60, Y+57
Output: X=6585, Y=2472

Input A: X+42, Y+16
Input B: X+28, Y+38
Output: X=1568, Y=1144

Input A: X+53, Y+24
Input B: X+21, Y+92
Output: X=4564, Y=3964

Input A: X+18, Y+26
Input B: X+54, Y+12
Output: X=2862, Y=1098

Input A: X+96, Y+36
Input B: X+24, Y+79
Output: X=4944, Y=3114

Input A: X+59, Y+21
Input B: X+30, Y+72
Output: X=19614, Y=428

Input A: X+71, Y+11
Input B: X+64, Y+83
Output: X=5870, Y=4856

Input A: X+20, Y+54
Input B: X+65, Y+41
Output: X=5645, Y=3809

Input A: X+38, Y+16
Input B: X+30, Y+66
Output: X=19304, Y=12482

Input A: X+54, Y+11
Input B: X+36, Y+78
Output: X=11870, Y=7567

Input A: X+60, Y+35
Input B: X+15, Y+66
Output: X=1590, Y=6309

Input A: X+12, Y+33
Input B: X+66, Y+48
Output: X=8792, Y=15647

Input A: X+79, Y+21
Input B: X+68, Y+91
Output: X=6290, Y=5537

Input A: X+30, Y+21
Input B: X+36, Y+88
Output: X=5298, Y=8607

Input A: X+59, Y+61
Input B: X+16, Y+70
Output: X=1747, Y=5869

Input A: X+67, Y+22
Input B: X+15, Y+56
Output: X=556, Y=3330

Input A: X+93, Y+37
Input B: X+14, Y+61
Output: X=9946, Y=8724

Input A: X+40, Y+11
Input B: X+29, Y+51
Output: X=990, Y=3218

Input A: X+19, Y+38
Input B: X+47, Y+11
Output: X=18259, Y=898

Input A: X+22, Y+13
Input B: X+20, Y+47
Output: X=2862, Y=4068

Input A: X+67, Y+22
Input B: X+41, Y+46
Output: X=3326, Y=2296

Input A: X+66, Y+33
Input B: X+25, Y+59
Output: X=13602, Y=4921

Input A: X+95, Y+51
Input B: X+18, Y+85
Output: X=6537, Y=10591

Input A: X+20, Y+95
Input B: X+50, Y+24
Output: X=3730, Y=4694

Input A: X+47, Y+89
Input B: X+42, Y+14
Output: X=4510, Y=6050

Input A: X+46, Y+41
Input B: X+13, Y+51
Output: X=3478, Y=6253

Input A: X+27, Y+60
Input B: X+58, Y+17
Output: X=505, Y=19167

Input A: X+13, Y+16
Input B: X+54, Y+14
Output: X=5609, Y=2654

Input A: X+20, Y+92
Input B: X+64, Y+34
Output: X=2852, Y=1922

Input A: X+25, Y+78
Input B: X+72, Y+21
Output: X=3901, Y=17510

Input A: X+11, Y+57
Input B: X+73, Y+20
Output: X=8507, Y=9590

Input A: X+81, Y+82
Input B: X+59, Y+15
Output: X=9617, Y=6068

Input A: X+17, Y+51
Input B: X+63, Y+32
Output: X=10215, Y=8955

Input A: X+23, Y+62
Input B: X+43, Y+16
Output: X=12373, Y=18934

Input A: X+70, Y+27
Input B: X+17, Y+96
Output: X=2196, Y=2457

Input A: X+72, Y+15
Input B: X+18, Y+71
Output: X=17450, Y=4395

Input A: X+23, Y+49
Input B: X+82, Y+29
Output: X=3918, Y=3102

Input A: X+15, Y+89
Input B: X+34, Y+40
Output: X=1318, Y=6688

Input A: X+32, Y+54
Input B: X+46, Y+21
Output: X=9480, Y=6938

Input A: X+13, Y+46
Input B: X+50, Y+12
Output: X=9407, Y=11642

Input A: X+18, Y+56
Input B: X+78, Y+67
Output: X=7974, Y=10579

Input A: X+16, Y+62
Input B: X+94, Y+55
Output: X=6480, Y=7792

Input A: X+89, Y+35
Input B: X+38, Y+83
Output: X=9427, Y=7042

Input A: X+17, Y+80
Input B: X+87, Y+43
Output: X=9527, Y=9291

Input A: X+29, Y+14
Input B: X+29, Y+52
Output: X=1540, Y=15370

Input A: X+22, Y+53
Input B: X+46, Y+22
Output: X=1192, Y=5223

Input A: X+24, Y+61
Input B: X+43, Y+18
Output: X=15889, Y=4821

Input A: X+59, Y+56
Input B: X+17, Y+85
Output: X=1683, Y=4352

Input A: X+15, Y+37
Input B: X+44, Y+21
Output: X=2840, Y=3504

Input A: X+34, Y+83
Input B: X+44, Y+32
Output: X=5074, Y=7711

Input A: X+17, Y+41
Input B: X+18, Y+12
Output: X=1736, Y=4664

Input A: X+13, Y+23
Input B: X+79, Y+24
Output: X=1442, Y=1162

Input A: X+59, Y+22
Input B: X+14, Y+44
Output: X=1493, Y=4202

Input A: X+50, Y+24
Input B: X+50, Y+90
Output: X=4550, Y=5814

Input A: X+42, Y+76
Input B: X+88, Y+45
Output: X=7484, Y=8516

Input A: X+54, Y+30
Input B: X+19, Y+57
Output: X=5507, Y=3849

Input A: X+43, Y+90
Input B: X+67, Y+12
Output: X=913, Y=1398

Input A: X+71, Y+11
Input B: X+37, Y+97
Output: X=4860, Y=4860

Input A: X+29, Y+64
Input B: X+99, Y+18
Output: X=3808, Y=986

Input A: X+42, Y+76
Input B: X+33, Y+11
Output: X=19352, Y=13554

Input A: X+15, Y+72
Input B: X+99, Y+60
Output: X=6456, Y=4416

Input A: X+44, Y+15
Input B: X+59, Y+76
Output: X=4939, Y=3528

Input A: X+27, Y+20
Input B: X+23, Y+97
Output: X=1796, Y=4289

Input A: X+20, Y+69
Input B: X+31, Y+28
Output: X=3083, Y=4873

Input A: X+64, Y+11
Input B: X+20, Y+59
Output: X=13820, Y=19638

Input A: X+85, Y+21
Input B: X+35, Y+65
Output: X=2900, Y=3196

Input A: X+37, Y+14
Input B: X+47, Y+69
Output: X=19753, Y=12121

Input A: X+84, Y+11
Input B: X+89, Y+94
Output: X=9052, Y=7773

Input A: X+59, Y+27
Input B: X+28, Y+49
Output: X=6811, Y=6048

Input A: X+11, Y+41
Input B: X+53, Y+29
Output: X=15684, Y=1596

Input A: X+74, Y+60
Input B: X+17, Y+81
Output: X=846, Y=2568

Input A: X+37, Y+19
Input B: X+17, Y+36
Output: X=418, Y=2575

Input A: X+66, Y+52
Input B: X+23, Y+80
Output: X=4669, Y=3988

Input A: X+15, Y+83
Input B: X+84, Y+12
Output: X=2861, Y=18617

Input A: X+86, Y+38
Input B: X+13, Y+60
Output: X=11941, Y=224

Input A: X+16, Y+83
Input B: X+68, Y+29
Output: X=7384, Y=6577

Input A: X+19, Y+63
Input B: X+41, Y+18
Output: X=3115, Y=2898

Input A: X+78, Y+36
Input B: X+34, Y+60
Output: X=8960, Y=5952

Input A: X+16, Y+62
Input B: X+59, Y+14
Output: X=4197, Y=7846

Input A: X+61, Y+91
Input B: X+75, Y+31
Output: X=835, Y=1003

Input A: X+22, Y+79
Input B: X+91, Y+65
Output: X=2987, Y=7323

Input A: X+57, Y+13
Input B: X+23, Y+58
Output: X=14865, Y=12512

Input A: X+57, Y+69
Input B: X+77, Y+15
Output: X=6139, Y=2817

Input A: X+91, Y+56
Input B: X+25, Y+69
Output: X=7126, Y=7763

Input A: X+16, Y+35
Input B: X+30, Y+17
Output: X=3366, Y=4008

Input A: X+67, Y+24
Input B: X+27, Y+86
Output: X=6782, Y=8154

Input A: X+12, Y+49
Input B: X+54, Y+14
Output: X=4862, Y=12478

Input A: X+14, Y+56
Input B: X+40, Y+19
Output: X=5836, Y=10204

Input A: X+22, Y+72
Input B: X+69, Y+11
Output: X=6915, Y=5523

Input A: X+28, Y+83
Input B: X+68, Y+11
Output: X=14848, Y=2920

Input A: X+44, Y+11
Input B: X+22, Y+60
Output: X=16336, Y=18195

Input A: X+62, Y+52
Input B: X+24, Y+79
Output: X=5746, Y=9941

Input A: X+18, Y+67
Input B: X+66, Y+50
Output: X=912, Y=2025

Input A: X+92, Y+23
Input B: X+26, Y+79
Output: X=4826, Y=3889

Input A: X+14, Y+49
Input B: X+62, Y+31
Output: X=16240, Y=4860

Input A: X+42, Y+11
Input B: X+25, Y+78
Output: X=11083, Y=7794

Input A: X+43, Y+32
Input B: X+19, Y+61
Output: X=4387, Y=6873

Input A: X+83, Y+59
Input B: X+21, Y+51
Output: X=2245, Y=2173

Input A: X+25, Y+12
Input B: X+14, Y+36
Output: X=12142, Y=1808

Input A: X+25, Y+11
Input B: X+18, Y+50
Output: X=1601, Y=2051

Input A: X+20, Y+57
Input B: X+70, Y+25
Output: X=11590, Y=937

Input A: X+70, Y+29
Input B: X+15, Y+56
Output: X=15205, Y=4381

Input A: X+19, Y+81
Input B: X+86, Y+41
Output: X=10300, Y=11673

Input A: X+51, Y+75
Input B: X+67, Y+15
Output: X=2803, Y=2535
