price,crime,nox,rooms,dist,radial,proptax,stratio,lowstat
19600,0.103,4.53,5.93,6.93,8,28.4,19.7,9.22
18700,0.149,4.53,5.74,6.76,8,28.4,19.7,13.15
16000,0.172,4.53,5.97,6.82,8,28.4,19.7,14.44
22199,0.11,4.53,6.46,7.23,8,28.4,19.7,6.73
24999,0.127,4.53,6.76,7.98,8,28.4,19.7,9.5
33001,0.02,4.16,7.1,9.22,3,21.6,18.6,8.05
23501,0.036,3.98,6.29,6.61,4,33.7,16.1,4.67
19400,0.044,3.98,5.79,6.61,4,33.7,16.1,10.24
22000,0.058,4.09,5.88,6.5,4,34.5,18.9,8.1
17400,0.136,4.09,5.59,6.5,4,34.5,18.9,13.09
20900,0.128,4.09,5.88,6.5,4,34.5,18.9,8.79
24200,0.088,4.13,6.42,5.29,4,30.5,19.2,6.72
21700,0.159,4.13,5.96,5.29,4,30.5,19.2,9.88
22800,0.092,4.13,6.06,5.29,4,30.5,19.2,5.52
23400,0.195,4.13,6.24,5.29,4,30.5,19.2,7.54
24101,0.079,4.37,6.27,4.25,5,39.8,18.7,6.78
21400,0.095,4.37,6.29,4.5,5,39.8,18.7,8.94
20000,0.102,4.37,6.28,4.05,5,39.8,18.7,11.97
20800,0.087,4.37,6.14,4.09,5,39.8,18.7,10.27
21200,0.056,4.37,6.23,5.01,5,39.8,18.7,12.34
20300,0.084,4.37,5.87,4.5,5,39.8,18.7,9.1
28001,0.041,4.26,6.73,5.4,4,28.1,19,5.29
23899,0.045,4.26,6.62,5.4,4,28.1,19,7.22
24800,0.037,4.26,6.3,5.4,4,28.1,19,6.72
22900,0.036,4.26,6.17,5.4,4,28.1,19,7.51
23899,0.051,4.49,6.39,4.78,3,24.7,18.5,9.62
26601,0.057,4.49,6.63,4.44,3,24.7,18.5,6.53
22501,0.052,4.49,6.01,4.43,3,24.7,18.5,12.86
22199,0.072,4.49,6.12,3.75,3,24.7,18.5,8.44
23600,0.057,4.89,7.01,3.42,2,27,17.8,5.5
28701,0.053,4.89,7.08,3.41,2,27,17.8,5.7
22600,0.047,4.89,6.42,3.09,2,27,17.8,8.81
22000,0.039,4.89,6.4,3.09,2,27,17.8,8.2
22900,0.042,4.64,6.44,3.67,4,27,18.2,8.16
24999,0.029,4.64,6.21,3.67,4,27,18.2,6.21
20600,0.043,4.64,6.25,3.61,4,27,18.2,10.59
28399,0.122,4.45,6.62,3.5,2,27.6,18,6.65
21400,0.115,4.45,6.16,3.5,2,27.6,18,11.34
38700,0.121,4.45,8.07,3.5,2,27.6,18,4.21
43800,0.082,4.45,7.82,3.5,2,27.6,18,3.57
33200,0.069,4.45,7.42,3.5,2,27.6,18,6.19
27499,0.149,5.2,6.73,2.78,5,38.4,20.9,9.42
26500,0.114,5.2,6.78,2.86,5,38.4,20.9,7.67
18600,0.229,5.2,6.4,2.71,5,38.4,20.9,10.63
19300,0.212,5.2,6.14,2.71,5,38.4,20.9,13.44
20100,0.14,5.2,6.17,2.42,5,38.4,20.9,12.33
19500,0.133,5.2,5.85,2.11,5,38.4,20.9,16.47
19500,0.171,5.2,5.84,2.21,5,38.4,20.9,18.66
20400,0.131,5.2,6.13,2.12,5,38.4,20.9,14.09
19800,0.128,5.2,6.47,2.43,5,38.4,20.9,12.27
19400,0.264,5.2,6.23,2.55,5,38.4,20.9,15.55
21700,0.108,5.47,6.19,2.78,5,38.4,20.9,13
22800,0.101,5.47,6.71,2.68,6,43.2,17.8,10.16
18800,0.123,5.47,5.91,2.35,6,43.2,17.8,16.21
18700,0.222,5.47,6.09,2.63,6,43.2,17.8,17.09
18500,0.142,5.47,6.25,2.26,6,43.2,17.8,10.45
18300,0.171,5.47,5.93,2.46,6,43.2,17.8,15.76
21200,0.132,5.47,6.18,2.73,6,43.2,17.8,12.04
19200,0.151,5.47,6.02,2.75,6,43.2,17.8,10.3
20400,0.131,5.47,5.87,2.48,6,43.2,17.8,15.37
19300,0.145,5.81,5.73,2.76,6,43.2,17.8,13.61
22000,0.069,5.81,5.87,2.26,2,18.8,19.1,39.07
20300,0.072,5.81,6,2.2,2,18.8,19.1,14.27
20500,0.093,5.81,5.96,2.09,2,18.8,19.1,17.93
17300,0.15,5.81,5.86,1.94,2,18.8,19.1,25.41
18800,0.098,5.81,5.88,2.01,2,18.8,19.1,17.58
21400,0.169,5.81,5.99,1.99,2,18.8,19.1,14.81
15700,0.387,6.24,5.61,1.76,2,18.8,19.1,27.26
16200,0.259,6.24,5.69,1.79,4,43.7,21.2,17.19
18000,0.325,6.24,6.43,1.81,4,43.7,21.2,15.39
14300,0.881,6.24,5.64,1.98,4,43.7,21.2,18.34
19200,0.34,6.24,6.46,2.12,4,43.7,21.2,12.6
19600,1.193,6.24,6.33,2.27,4,43.7,21.2,12.26
23001,0.59,6.24,6.37,2.33,4,43.7,21.2,11.12
18400,0.33,6.24,5.82,2.47,4,43.7,21.2,15.03
15600,0.976,6.24,5.76,2.35,4,43.7,21.2,17.31
18100,0.558,6.24,6.33,2.11,4,43.7,21.2,16.96
17400,0.323,6.24,5.94,1.97,4,43.7,21.2,16.9
17100,0.352,6.24,6.45,1.85,4,43.7,21.2,14.59
13300,0.25,6.24,5.86,1.67,4,43.7,21.2,21.32
17800,0.545,6.24,6.15,1.67,4,43.7,21.2,18.46
14000,0.291,6.24,6.17,1.61,4,43.7,21.2,24.16
14400,1.629,6.24,5.02,1.44,4,43.7,21.2,34.41
13400,3.321,8.71,5.4,1.32,5,40.3,14.7,26.82
15600,4.097,8.71,5.47,1.41,5,40.3,14.7,26.42
11800,2.78,8.71,4.9,1.35,5,40.3,14.7,29.29
13800,2.379,8.71,6.13,1.42,5,40.3,14.7,27.8
15600,2.155,8.71,5.63,1.52,5,40.3,14.7,16.65
14600,2.369,8.71,4.93,1.46,5,40.3,14.7,29.53
17794,2.331,8.71,5.19,1.53,5,40.3,14.7,28.32
15400,2.734,8.71,5.6,1.53,5,40.3,14.7,21.45
21500,1.657,8.71,6.12,1.62,5,40.3,14.7,14.1
19600,1.496,8.71,5.4,1.59,5,40.3,14.7,13.28
15300,1.127,8.71,5.01,1.61,5,40.3,14.7,12.12
19400,3.149,8.71,5.71,1.62,5,40.3,14.7,15.79
17000,1.414,8.71,6.13,1.75,5,40.3,14.7,15.12
15600,3.535,8.71,6.15,1.75,5,40.3,14.7,15.02
13100,2.447,8.71,5.27,1.74,5,40.3,14.7,16.14
41299,1.224,6.05,6.94,1.88,5,40.3,14.7,4.59
24299,1.343,6.05,6.07,1.76,5,40.3,14.7,6.43
23300,1.425,8.71,6.51,1.77,5,40.3,14.7,7.39
27000,1.273,6.05,6.25,1.8,5,40.3,14.7,5.5
50001,1.463,6.05,7.49,1.97,5,40.3,14.7,1.73
50001,1.834,6.05,7.8,2.04,5,40.3,14.7,1.92
50001,1.519,6.05,8.37,2.16,5,40.3,14.7,3.32
22700,2.242,6.05,5.85,2.42,5,40.3,14.7,11.64
24999,2.924,6.05,6.1,2.28,5,40.3,14.7,9.81
50001,2.01,6.05,7.93,2.05,5,40.3,14.7,3.7
23799,1.8,6.05,5.88,2.43,5,40.3,14.7,12.14
23799,2.3,6.05,6.32,2.1,5,40.3,14.7,11.09
22299,2.45,6.05,6.4,2.26,5,40.3,14.7,11.32
17400,1.207,6.05,5.87,2.43,5,40.3,14.7,14.43
19100,2.314,6.05,5.88,2.39,5,40.3,14.7,12.03
23100,0.139,5.1,5.57,2.6,5,29.6,16.6,14.69
23600,0.092,5.1,6.42,2.65,5,29.6,16.6,9.04
22600,0.084,5.1,5.86,2.7,5,29.6,16.6,9.64
29401,0.067,5.1,6.55,3.13,5,29.6,16.6,5.33
23200,0.07,5.1,6.02,3.55,5,29.6,16.6,10.11
24600,0.054,5.1,6.31,3.3,5,29.6,16.6,6.29
29900,0.066,5.1,6.86,2.91,5,29.6,16.6,6.92
37201,0.058,4.88,6.98,2.83,3,19.3,17.8,5.04
39799,0.066,4.88,7.76,2.74,3,19.3,17.8,7.56
36199,0.069,4.88,6.14,2.6,3,19.3,17.8,9.45
37900,0.091,4.88,7.15,2.7,3,19.3,17.8,4.82
32500,0.1,4.88,6.56,2.85,3,19.3,17.8,5.68
26399,0.083,4.88,5.6,2.99,3,19.3,17.8,13.98
29599,0.06,4.88,6.15,3.28,3,19.3,17.8,13.15
50001,0.056,4.88,7.83,3.2,3,19.3,17.8,4.45
32000,0.079,4.37,6.78,3.79,5,39.8,15.2,6.68
29801,0.126,4.37,6.56,4.57,5,39.8,15.2,4.56
34899,0.084,4.37,7.18,4.57,5,39.8,15.2,5.39
37001,0.091,4.37,6.95,6.48,5,39.8,15.2,5.1
30501,0.069,4.37,6.74,6.48,5,39.8,15.2,4.69
36399,0.087,4.37,7.18,6.48,5,39.8,15.2,2.87
31101,0.022,4.01,6.8,6.22,1,26.5,15.6,5.03
29100,0.014,4.01,6.6,6.22,1,26.5,15.6,4.38
50001,0.014,4.22,7.87,5.65,4,25.5,14.4,2.97
33300,0.04,4.04,7.29,7.31,2,32.9,12.6,4.08
30300,0.047,4.04,7.11,7.31,2,32.9,12.6,8.61
34600,0.038,4.04,7.27,7.31,2,32.9,12.6,6.62
34899,0.032,4.03,6.97,7.65,3,40.2,17,4.56
32899,0.018,4.03,7.13,7.65,3,40.2,17,4.45
24101,0.034,4.15,6.16,6.27,2,34.8,14.7,7.43
42302,0.022,4.15,7.61,6.27,2,34.8,14.7,3.11
48499,0.035,4.16,7.85,5.12,4,22.4,14.7,3.81
50001,0.02,4.16,8.03,5.12,4,22.4,14.7,2.88
22600,0.136,4.89,5.89,3.95,4,27.7,18.6,10.87
24399,0.23,4.89,6.33,4.35,4,27.7,18.6,10.97
22501,0.252,4.89,5.78,4.35,4,27.7,18.6,18.06
24399,0.136,4.89,6.06,4.24,4,27.7,18.6,14.66
20000,0.436,4.89,5.34,3.87,4,27.7,18.6,23.09
21700,0.174,4.89,5.96,3.88,4,27.7,18.6,17.27
19300,0.376,4.89,5.4,3.67,4,27.7,18.6,23.98
22400,0.217,4.89,5.81,3.65,4,27.7,18.6,16.03
28099,0.141,4.89,6.37,3.95,4,27.7,18.6,9.38
23699,0.29,4.89,5.41,3.59,4,27.7,18.6,29.55
24999,0.198,4.89,6.18,3.95,4,27.7,18.6,9.47
23300,0.046,5.5,5.89,3.11,5,27.6,16.4,13.51
28701,0.07,5.5,6.64,3.42,5,27.6,16.4,9.69
21500,0.111,5.5,5.95,2.89,5,27.6,16.4,17.92
23001,0.114,5.5,6.37,3.36,5,27.6,16.4,10.5
26699,0.358,5.07,6.95,2.86,8,30.7,16.4,9.71
21700,0.408,5.07,6.16,3.05,8,30.7,17.4,21.46
27499,0.624,5.07,6.88,3.27,8,30.7,17.4,9.93
30101,0.615,5.07,6.62,3.27,8,30.7,17.4,7.6
44802,0.315,5.04,8.27,2.89,8,30.7,17.4,4.14
50001,0.523,5.04,8.72,2.89,8,30.7,17.4,4.92
37602,0.382,5.04,8.04,3.22,8,30.7,17.4,3.13
31600,0.412,5.04,7.16,3.22,8,30.7,17.4,6.36
46700,0.298,5.04,7.69,3.38,8,30.7,17.4,3.92
31499,0.442,5.04,6.55,3.38,8,30.7,17.4,3.76
24299,0.537,5.04,5.98,3.67,8,30.7,17.4,11.65
31701,0.463,5.04,7.41,3.67,8,30.7,17.4,5.25
41702,0.575,5.07,8.34,3.84,8,30.7,17.4,2.47
48301,0.331,5.07,8.25,3.65,8,30.7,17.4,3.95
29001,0.448,5.07,6.73,3.65,8,30.7,17.4,8.05
24000,0.33,5.07,6.09,3.65,8,30.7,17.4,10.88
25099,0.521,5.07,6.63,4.15,8,30.7,17.4,9.54
31499,0.512,5.07,7.36,4.15,8,30.7,17.4,4.73
23699,0.082,4.28,6.48,6.19,6,30,16.6,6.36
23300,0.093,4.28,6.61,6.19,6,30,16.6,7.37
22000,0.113,4.28,6.9,6.34,6,30,16.6,11.38
20100,0.106,4.28,6.09,6.34,6,30,16.6,12.4
22199,0.103,4.28,6.36,7.04,6,30,16.6,11.22
23699,0.126,4.28,6.39,7.04,6,30,16.6,5.19
17600,0.206,4.31,5.59,7.95,7,33,19.1,12.5
18500,0.191,4.31,5.6,7.95,7,33,19.1,18.46
24299,0.34,4.31,6.11,8.06,7,33,19.1,9.16
20500,0.197,4.31,6.23,8.06,7,33,19.1,10.15
24499,0.164,4.31,6.43,7.83,7,33,19.1,9.52
26200,0.191,4.31,6.72,7.83,7,33,19.1,6.56
24399,0.14,4.31,6.49,7.4,7,33,19.1,5.9
24800,0.214,4.31,6.44,7.4,7,33,19.1,3.59
29599,0.082,4.31,6.96,8.91,7,33,19.1,3.53
42800,0.369,4.31,8.26,8.91,7,33,19.1,3.54
21900,0.048,3.92,6.11,9.22,1,31.5,16.4,6.57
20900,0.035,3.92,5.88,9.22,1,31.5,16.4,9.25
43998,0.015,3.94,7.45,6.34,3,24.4,15.9,3.11
50001,0.612,6.47,8.7,1.8,5,26.4,13,5.12
36001,0.664,6.47,7.33,1.89,5,26.4,13,7.79
30101,0.657,6.47,6.84,2.01,5,26.4,13,6.9
33799,0.54,6.47,7.2,2.11,5,26.4,13,9.59
43101,0.534,6.47,7.52,2.14,5,26.4,13,7.26
48801,0.52,6.47,8.4,2.29,5,26.4,13,5.91
30999,0.825,6.47,7.33,2.08,5,26.4,13,11.25
36501,0.55,6.47,7.21,1.93,5,26.4,13,8.1
22800,0.762,6.47,5.56,1.99,5,26.4,13,10.45
30699,0.786,6.47,7.01,2.13,5,26.4,13,14.79
50001,0.578,5.75,8.3,2.42,5,26.4,13,7.44
43499,0.54,5.75,7.47,2.87,5,26.4,13,3.16
20700,0.091,4.64,5.92,3.92,3,22.3,18.6,13.65
21100,0.299,4.64,5.86,4.43,3,22.3,18.6,13
25200,0.162,4.64,6.24,4.43,3,22.3,18.6,6.59
24399,0.115,4.64,6.54,3.92,3,22.3,18.6,7.73
35200,0.222,4.64,7.69,4.37,3,22.3,18.6,6.58
32400,0.056,4.47,6.76,4.08,4,25.4,17.6,3.53
32000,0.096,4.47,6.85,4.27,4,25.4,17.6,2.98
33200,0.105,4.47,7.27,4.79,4,25.4,17.6,6.05
33100,0.061,4.47,6.83,4.86,4,25.4,17.6,4.16
29100,0.08,4.47,6.48,4.14,4,25.4,17.6,7.19
35102,0.21,4.43,6.81,4.1,5,21.6,14.9,4.85
45401,0.036,4.43,7.82,4.69,5,21.6,14.9,3.76
35401,0.037,4.43,6.97,5.24,5,21.6,14.9,4.59
46000,0.061,4.43,7.64,5.21,5,21.6,14.9,3.01
50001,0.015,4.01,7.92,5.89,1,19.8,13.6,3.16
32199,0.009,4,7.09,7.31,1,28.5,15.3,7.85
22000,0.011,3.89,6.45,7.31,1,30,15.3,8.23
20100,0.02,3.85,6.23,9.09,1,24.1,18.2,12.93
23200,0.039,4.05,6.21,7.32,6,29.3,16.6,7.14
22299,0.046,4.05,6.31,7.32,6,29.3,16.6,7.6
24800,0.043,4.05,6.56,7.32,6,29.3,16.6,9.51
28501,0.035,4.11,6.86,5.12,4,24.5,19.2,3.33
37298,0.079,4.11,7.15,5.12,4,24.5,19.2,3.56
27901,0.036,4.11,6.63,5.12,4,24.5,19.2,4.7
23899,0.083,4.37,6.13,5.5,4,28.9,16,8.58
21700,0.082,4.37,6.01,5.5,4,28.9,16,10.4
28601,0.129,4.37,6.68,5.96,4,28.9,16,6.27
27100,0.054,4.37,6.55,5.96,4,28.9,16,7.39
20300,0.141,4.37,5.79,6.32,4,28.9,16,15.84
22501,0.065,4,6.34,7.83,5,35.8,14.8,4.97
29001,0.056,4,7.04,7.83,5,35.8,14.8,4.74
24800,0.044,4,6.87,7.83,5,35.8,14.8,6.07
22000,0.035,4.33,6.59,5.49,7,32.9,16.1,9.5
26399,0.093,4.33,6.49,5.49,7,32.9,16.1,8.67
33100,0.1,4.72,6.98,5.49,7,32.9,16.1,4.86
36098,0.055,4.72,7.24,4.02,7,22.2,18.4,6.93
28399,0.055,4.72,6.62,3.37,7,22.2,18.4,8.93
33400,0.075,4.72,7.42,3.1,7,22.2,18.4,6.47
28201,0.049,4.72,6.85,3.18,7,22.2,18.4,7.53
22800,0.493,5.44,6.63,3.32,4,30.4,18.4,4.54
20300,0.349,5.44,5.97,3.1,4,30.4,18.4,9.97
16100,2.635,5.44,4.97,2.52,4,30.4,18.4,12.64
22099,0.79,5.44,6.12,2.64,4,30.4,18.4,5.98
19400,0.262,5.44,6.02,2.83,4,30.4,18.4,11.72
21600,0.269,5.44,6.27,3.26,4,30.4,18.4,7.9
23799,0.369,5.44,6.57,3.6,4,30.4,18.4,9.28
16200,0.254,5.44,5.7,3.95,4,30.4,18.4,11.5
17800,0.318,5.44,5.91,4,4,30.4,18.4,18.33
19800,0.245,5.44,5.78,4.03,4,30.4,18.4,15.94
23100,0.402,5.44,6.38,3.53,4,30.4,18.4,10.36
21000,0.475,5.44,6.11,4,4,30.4,18.4,12.73
23799,0.168,4.93,6.43,4.54,5,28.7,19.6,7.2
23100,0.182,4.93,6.38,4.54,5,28.7,19.6,6.87
20400,0.351,4.93,6.04,4.72,5,28.7,19.6,7.7
18500,0.284,4.93,5.71,4.72,5,28.7,19.6,11.74
24999,0.341,4.93,6.41,4.72,5,28.7,19.6,6.12
24600,0.192,4.93,6.43,5.42,5,28.7,19.6,5.08
23001,0.303,4.93,6.31,5.42,5,28.7,19.6,6.15
22199,0.241,4.93,6.08,5.42,5,28.7,19.6,12.79
19300,0.066,4.6,5.87,5.21,4,43,16.9,9.97
22600,0.067,4.6,6.33,5.21,4,43,16.9,7.34
19800,0.045,4.6,6.14,5.87,4,43,16.9,9.09
17100,0.05,4.38,5.71,6.64,1,30.4,16.9,12.43
19400,0.035,4.38,6.03,7.27,1,30.4,16.9,7.83
22199,0.051,5.15,6.32,6.46,5,22.4,20.2,5.68
20700,0.037,5.15,6.31,6.46,5,22.4,20.2,6.75
21100,0.04,5.15,6.04,5.99,5,22.4,20.2,8.01
19500,0.034,5.15,5.87,5.23,5,22.4,20.2,9.8
18500,0.03,5.15,5.89,5.61,5,22.4,20.2,10.56
20548,0.033,5.15,6.06,4.81,5,22.4,20.2,8.51
19000,0.055,5.15,5.98,4.81,5,22.4,20.2,9.74
18700,0.062,5.15,5.97,4.81,5,22.4,20.2,9.29
32778,0.013,4.42,7.24,7.04,1,28.4,15.5,5.49
16500,0.025,5.18,6.54,6.27,1,42.2,15.9,8.65
23899,0.025,4.84,6.7,5.73,5,37,17.6,7.18
31201,0.03,4.84,6.87,6.47,5,37,17.6,4.61
17500,0.031,4.42,6.01,8.01,3,35.2,18.8,10.53
17200,0.062,4.42,5.9,8.01,3,35.2,18.8,12.67
23100,0.019,4.29,6.52,8.54,4,35.1,17.9,6.36
24499,0.015,4.35,6.63,8.34,4,28,17,5.99
26601,0.029,4.29,6.94,8.79,1,33.5,19.7,5.89
22900,0.062,4.29,6.49,8.79,1,33.5,19.7,5.98
24101,0.079,4.11,6.58,10.71,4,41.1,18.3,5.49
18600,0.072,4.11,5.88,10.71,4,41.1,18.3,7.79
30101,0.017,4.1,6.73,12.13,5,18.7,17,4.5
18200,0.043,4.13,5.66,10.59,4,33.4,22,8.05
20600,0.107,4.13,5.94,10.59,4,33.4,22,5.57
17794,8.983,7.7,6.21,2.12,24,66.6,20.2,17.6
21700,3.85,7.7,6.39,2.51,24,66.6,20.2,13.27
22700,5.202,7.7,6.13,2.72,24,66.6,20.2,11.48
22600,4.261,7.7,6.11,2.51,24,66.6,20.2,12.67
24999,4.542,7.7,6.4,2.52,24,66.6,20.2,7.79
19900,3.837,7.7,6.25,2.3,24,66.6,20.2,14.19
20800,3.678,7.7,5.36,2.1,24,66.6,20.2,10.19
16800,4.222,7.7,5.8,1.9,24,66.6,20.2,14.64
21900,3.474,7.18,8.78,1.9,24,66.6,20.2,5.29
27499,4.556,7.18,3.56,1.61,24,66.6,20.2,7.12
21900,3.697,7.18,4.96,1.75,24,66.6,20.2,14
23100,13.522,6.31,3.86,1.51,24,66.6,20.2,13.33
50001,4.898,6.31,4.97,1.33,24,66.6,20.2,3.26
50001,5.67,6.31,6.68,1.36,24,66.6,20.2,3.73
50001,6.539,6.31,7.02,1.2,24,66.6,20.2,2.96
50001,9.232,6.31,6.22,1.17,24,66.6,20.2,9.53
50001,8.267,6.68,5.87,1.13,24,66.6,20.2,8.88
13800,11.108,6.68,4.91,1.17,24,66.6,20.2,34.77
13800,18.498,6.68,4.14,1.14,24,66.6,20.2,37.97
15000,19.609,6.71,7.31,1.32,24,66.6,20.2,13.44
13900,15.288,6.71,6.65,1.34,24,66.6,20.2,23.24
13300,9.823,6.71,6.79,1.36,24,66.6,20.2,21.24
13100,23.648,6.71,6.38,1.39,24,66.6,20.2,23.69
10200,17.867,6.71,6.22,1.39,24,66.6,20.2,21.78
10400,88.976,6.71,6.97,1.42,24,66.6,20.2,17.21
10900,15.874,6.71,6.54,1.52,24,66.6,20.2,21.08
11300,9.187,7,5.54,1.58,24,66.6,20.2,23.6
12300,7.992,7,5.52,1.53,24,66.6,20.2,24.56
8800,20.085,7,4.37,1.44,24,66.6,20.2,30.63
7200,16.812,7,5.28,1.43,24,66.6,20.2,30.81
10500,24.394,7,4.65,1.47,24,66.6,20.2,28.28
7400,22.597,7,5,1.52,24,66.6,20.2,31.99
10200,14.334,7,4.88,1.59,24,66.6,20.2,30.62
11500,8.152,7,5.39,1.73,24,66.6,20.2,20.85
15100,6.962,7,5.71,1.93,24,66.6,20.2,17.11
23200,5.293,7,6.05,2.17,24,66.6,20.2,18.76
9700,11.578,7,5.04,1.77,24,66.6,20.2,25.68
13800,8.645,6.93,6.19,1.79,24,66.6,20.2,15.17
12700,13.36,6.93,5.89,1.78,24,66.6,20.2,16.35
13100,8.717,6.93,6.47,1.73,24,66.6,20.2,17.12
12500,5.872,6.93,6.4,1.68,24,66.6,20.2,19.37
8500,7.672,6.93,5.75,1.63,24,66.6,20.2,19.92
5000,38.352,6.93,5.45,1.49,24,66.6,20.2,30.59
6300,9.917,6.93,5.85,1.5,24,66.6,20.2,29.97
5600,25.046,6.93,5.99,1.59,24,66.6,20.2,27.04
7200,14.236,6.93,6.34,1.57,24,66.6,20.2,20.32
12100,9.596,6.93,6.4,1.64,24,66.6,20.2,20.31
8300,24.802,6.93,5.35,1.7,24,66.6,20.2,19.77
8500,41.529,6.93,5.53,1.61,24,66.6,20.2,27.38
5000,67.921,6.93,5.68,1.43,24,66.6,20.2,22.98
11900,20.716,6.59,4.14,1.18,24,66.6,20.2,23.34
27901,11.951,6.59,5.61,1.29,24,66.6,20.2,12.13
17200,7.404,5.97,5.62,1.45,24,66.6,20.2,26.4
27499,14.438,5.97,6.85,1.47,24,66.6,20.2,19.78
15000,51.136,5.97,5.76,1.41,24,66.6,20.2,10.11
17200,14.051,5.97,6.66,1.53,24,66.6,20.2,21.22
17900,18.811,5.97,4.63,1.55,24,66.6,20.2,34.37
16300,26.656,5.97,5.15,1.59,24,66.6,20.2,20.08
7012,45.746,6.93,4.52,1.66,24,66.6,20.2,36.98
7200,18.085,6.79,6.43,1.83,24,66.6,20.2,29.05
7500,10.834,6.79,6.78,1.82,24,66.6,20.2,25.79
10400,25.941,6.79,5.3,1.65,24,66.6,20.2,26.64
8800,73.534,6.79,5.96,1.8,24,66.6,20.2,20.62
8400,11.812,7.18,6.82,1.79,24,66.6,20.2,22.74
16700,11.087,7.18,6.41,1.86,24,66.6,20.2,15.02
14200,7.023,7.18,6.01,1.87,24,66.6,20.2,15.7
20800,12.048,6.14,5.65,1.95,24,66.6,20.2,14.1
13400,7.05,6.14,6.1,2.02,24,66.6,20.2,23.29
11700,8.792,5.84,5.56,2.06,24,66.6,20.2,17.16
8300,15.86,6.79,5.9,1.91,24,66.6,20.2,24.39
10200,12.247,5.84,5.84,2,24,66.6,20.2,15.69
10900,37.662,6.79,6.2,1.86,24,66.6,20.2,14.52
11000,7.367,6.79,6.19,1.94,24,66.6,20.2,21.52
