mnthborn,yearborn,age,electric,radio,tv,bicycle,educ,ceb,agefbrth,children,knowmeth,usemeth,monthfm,yearfm,agefm,idlnchld,heduc,agesq,urban,urb_educ,spirit,protest,catholic,frsthalf,educ0,evermarr
6,66,22,0.0,0.0,0.0,0.0,7,2,18.0,2,1.0,1.0,,,,4.0,,484,1,7,1,0,0,1,0,0
5,53,35,0.0,1.0,0.0,0.0,6,3,21.0,2,1.0,1.0,,,,2.0,,1225,1,6,0,1,0,1,0,0
1,48,40,1.0,1.0,1.0,1.0,12,2,26.0,2,1.0,1.0,3.0,73.0,25.0,2.0,15.0,1600,1,12,0,0,1,1,0,1
9,48,40,1.0,1.0,0.0,1.0,7,5,19.0,5,1.0,1.0,8.0,66.0,17.0,5.0,0.0,1600,1,7,1,0,0,0,0,1
3,59,29,0.0,0.0,0.0,0.0,0,2,17.0,1,1.0,1.0,,,,6.0,,841,1,0,0,1,0,1,1,0
7,55,33,1.0,1.0,0.0,0.0,12,1,26.0,1,1.0,1.0,4.0,78.0,22.0,4.0,12.0,1089,1,12,0,0,0,0,0,1
3,62,26,0.0,0.0,0.0,0.0,3,2,18.0,2,1.0,1.0,,,,2.0,,676,1,3,0,1,0,1,0,0
4,47,41,1.0,1.0,1.0,0.0,12,2,23.0,2,1.0,1.0,4.0,70.0,23.0,2.0,13.0,1681,1,12,0,1,0,1,0,1
3,67,21,1.0,1.0,0.0,0.0,7,1,17.0,1,1.0,1.0,,,,4.0,,441,1,7,0,1,0,1,0,0
3,69,19,1.0,1.0,0.0,0.0,10,0,,0,1.0,0.0,,,,4.0,,361,1,10,0,1,0,1,0,0
5,60,28,1.0,0.0,0.0,0.0,0,1,21.0,1,1.0,1.0,,,,4.0,,784,1,0,1,0,0,1,1,0
3,63,25,1.0,1.0,1.0,0.0,12,1,18.0,1,1.0,1.0,8.0,88.0,25.0,2.0,14.0,625,1,12,0,0,1,1,0,1
11,39,48,1.0,1.0,1.0,1.0,12,3,32.0,2,1.0,0.0,1.0,70.0,30.0,4.0,15.0,2304,1,12,0,0,1,0,0,1
11,56,32,1.0,1.0,1.0,1.0,14,3,22.0,3,1.0,1.0,12.0,78.0,22.0,3.0,14.0,1024,1,14,0,0,1,0,0,1
12,60,27,1.0,1.0,1.0,1.0,10,3,21.0,3,0.0,0.0,11.0,78.0,17.0,3.0,7.0,729,1,10,0,1,0,0,0,1
7,51,37,0.0,1.0,0.0,0.0,5,2,19.0,2,1.0,1.0,,,,6.0,,1369,1,5,1,0,0,0,0,0
10,64,24,0.0,0.0,0.0,0.0,10,0,,0,0.0,0.0,,,,2.0,,576,1,10,0,0,1,0,0,0
4,48,40,1.0,1.0,1.0,1.0,12,2,21.0,1,1.0,1.0,12.0,67.0,19.0,3.0,12.0,1600,1,12,0,0,1,1,0,1
5,39,49,1.0,1.0,1.0,0.0,17,5,18.0,5,1.0,1.0,1.0,57.0,17.0,5.0,10.0,2401,1,17,1,0,0,1,0,1
1,50,38,1.0,1.0,1.0,1.0,14,2,26.0,2,1.0,0.0,4.0,75.0,25.0,3.0,17.0,1444,1,14,0,0,0,1,0,1
7,56,32,1.0,1.0,1.0,1.0,13,2,20.0,2,1.0,1.0,8.0,75.0,19.0,6.0,,1024,1,13,0,0,0,0,0,1
6,66,22,1.0,1.0,1.0,1.0,7,0,,0,1.0,0.0,,,,4.0,,484,1,7,1,0,0,1,0,0
5,64,24,1.0,1.0,1.0,1.0,4,2,20.0,2,1.0,0.0,,,,4.0,,576,1,4,1,0,0,1,0,0
11,47,41,1.0,1.0,1.0,1.0,17,2,26.0,2,1.0,1.0,6.0,72.0,24.0,2.0,17.0,1681,1,17,0,0,0,0,0,1
7,58,30,0.0,1.0,0.0,0.0,7,1,17.0,0,1.0,1.0,9.0,76.0,18.0,3.0,8.0,900,1,7,0,0,1,0,0,1
8,42,46,1.0,1.0,0.0,0.0,5,5,21.0,5,1.0,1.0,,,,6.0,,2116,1,5,0,1,0,0,0,0
6,52,36,1.0,1.0,1.0,1.0,12,5,20.0,5,1.0,1.0,9.0,72.0,20.0,3.0,12.0,1296,1,12,0,1,0,1,0,1
12,42,45,1.0,1.0,1.0,1.0,3,0,,0,1.0,1.0,11.0,62.0,19.0,2.0,,2025,1,3,0,1,0,0,0,1
3,46,42,1.0,1.0,1.0,1.0,10,3,20.0,3,1.0,1.0,4.0,85.0,39.0,4.0,12.0,1764,1,10,0,1,0,1,0,1
2,72,16,1.0,1.0,1.0,1.0,8,1,16.0,1,1.0,0.0,,,,4.0,,256,1,8,1,0,0,1,0,0
7,44,44,1.0,1.0,1.0,0.0,10,4,26.0,4,1.0,0.0,2.0,70.0,25.0,4.0,12.0,1936,1,10,0,0,1,0,0,1
12,70,17,1.0,1.0,1.0,0.0,11,0,,0,1.0,0.0,,,,2.0,,289,1,11,0,0,1,0,0,0
10,73,15,1.0,1.0,1.0,0.0,8,0,,0,1.0,0.0,,,,0.0,,225,1,8,0,0,1,0,0,0
2,66,22,1.0,1.0,1.0,0.0,7,0,,0,1.0,1.0,,,,3.0,,484,1,7,0,1,0,1,0,0
7,59,29,1.0,1.0,0.0,1.0,7,3,17.0,2,1.0,1.0,,,,4.0,,841,1,7,0,1,0,0,0,0
10,64,24,1.0,1.0,1.0,1.0,16,1,20.0,1,1.0,1.0,,,,3.0,,576,1,16,0,1,0,0,0,0
11,52,36,1.0,1.0,0.0,0.0,2,1,25.0,0,1.0,0.0,4.0,88.0,35.0,4.0,0.0,1296,1,2,0,1,0,0,0,1
10,47,41,1.0,1.0,1.0,1.0,19,3,31.0,3,1.0,1.0,12.0,74.0,27.0,3.0,16.0,1681,1,19,0,1,0,0,0,1
10,39,49,1.0,0.0,0.0,0.0,6,2,22.0,2,0.0,0.0,11.0,61.0,22.0,2.0,4.0,2401,1,6,0,1,0,0,0,1
8,47,41,1.0,0.0,0.0,0.0,0,2,20.0,2,1.0,0.0,,,,2.0,,1681,1,0,0,0,1,0,1,0
4,41,47,1.0,1.0,0.0,1.0,15,2,30.0,2,1.0,1.0,8.0,62.0,21.0,2.0,15.0,2209,1,15,0,0,0,1,0,1
9,48,40,1.0,1.0,1.0,1.0,13,2,13.0,2,1.0,1.0,8.0,69.0,20.0,2.0,12.0,1600,1,13,0,0,1,0,0,1
1,49,39,1.0,1.0,1.0,0.0,15,4,22.0,3,1.0,1.0,12.0,71.0,22.0,4.0,13.0,1521,1,15,0,1,0,1,0,1
7,66,22,0.0,0.0,0.0,0.0,0,2,12.0,1,1.0,0.0,6.0,87.0,20.0,5.0,6.0,484,1,0,1,0,0,0,1,1
12,70,17,1.0,1.0,1.0,0.0,7,0,,0,1.0,1.0,,,,4.0,,289,1,7,0,0,0,0,0,0
7,58,30,1.0,1.0,1.0,1.0,16,2,17.0,2,1.0,1.0,2.0,83.0,24.0,2.0,15.0,900,1,16,1,0,0,0,0,1
7,52,36,1.0,1.0,1.0,1.0,14,2,23.0,2,1.0,1.0,10.0,74.0,22.0,4.0,10.0,1296,1,14,0,1,0,0,0,1
2,61,27,1.0,1.0,1.0,0.0,10,4,17.0,3,1.0,1.0,2.0,80.0,19.0,4.0,10.0,729,1,10,0,0,0,1,0,1
6,52,36,1.0,1.0,1.0,0.0,7,4,18.0,4,1.0,1.0,,,,6.0,,1296,1,7,0,1,0,1,0,0
5,71,17,1.0,1.0,1.0,0.0,8,0,,0,1.0,0.0,,,,2.0,,289,1,8,0,1,0,1,0,0
12,58,29,1.0,1.0,1.0,0.0,6,1,27.0,1,1.0,1.0,8.0,74.0,15.0,2.0,15.0,841,1,6,0,1,0,0,0,1
8,52,36,1.0,1.0,0.0,0.0,2,2,22.0,2,1.0,1.0,,,,3.0,,1296,1,2,0,0,0,0,0,0
9,42,46,1.0,1.0,1.0,1.0,10,5,22.0,5,1.0,1.0,12.0,66.0,24.0,4.0,10.0,2116,1,10,0,1,0,0,0,1
10,58,30,0.0,0.0,0.0,0.0,5,3,19.0,3,1.0,1.0,,,,3.0,,900,1,5,0,1,0,0,0,0
9,49,39,1.0,1.0,1.0,0.0,12,3,20.0,3,1.0,1.0,12.0,68.0,19.0,4.0,12.0,1521,1,12,0,0,0,0,0,1
12,54,33,1.0,1.0,1.0,0.0,17,2,25.0,2,1.0,1.0,5.0,78.0,23.0,2.0,17.0,1089,1,17,0,0,0,0,0,1
11,69,18,0.0,1.0,0.0,0.0,10,1,17.0,1,1.0,1.0,,,,4.0,,324,1,10,0,1,0,0,0,0
2,60,28,1.0,1.0,1.0,1.0,11,2,22.0,2,1.0,1.0,5.0,82.0,22.0,4.0,12.0,784,1,11,0,0,1,1,0,1
11,64,24,0.0,0.0,0.0,0.0,7,1,21.0,1,1.0,1.0,,,,4.0,,576,1,7,1,0,0,0,0,0
5,63,25,1.0,1.0,1.0,0.0,10,3,18.0,3,1.0,1.0,10.0,87.0,24.0,3.0,16.0,625,1,10,0,1,0,1,0,1
11,67,21,0.0,0.0,0.0,0.0,7,0,,0,1.0,1.0,,,,4.0,,441,1,7,0,1,0,0,0,0
12,71,16,0.0,0.0,0.0,0.0,7,0,,0,1.0,1.0,,,,4.0,,256,1,7,1,0,0,0,0,0
8,65,23,0.0,1.0,0.0,0.0,7,2,16.0,2,1.0,1.0,,,,4.0,,529,1,7,0,0,0,0,0,0
8,63,25,0.0,1.0,0.0,0.0,10,2,16.0,2,1.0,1.0,,,,3.0,,625,1,10,0,0,0,0,0,0
6,49,39,1.0,1.0,1.0,0.0,12,6,17.0,6,1.0,1.0,3.0,66.0,16.0,4.0,12.0,1521,1,12,0,0,0,1,0,1
7,51,37,1.0,1.0,1.0,1.0,20,2,30.0,2,1.0,1.0,10.0,79.0,28.0,2.0,20.0,1369,1,20,0,0,0,0,0,1
6,56,32,1.0,0.0,1.0,1.0,13,1,28.0,1,1.0,1.0,7.0,82.0,26.0,3.0,17.0,1024,1,13,0,0,1,1,0,1
7,41,47,1.0,0.0,0.0,0.0,4,5,22.0,5,1.0,1.0,4.0,62.0,20.0,2.0,0.0,2209,1,4,1,0,0,0,0,1
5,49,39,1.0,1.0,1.0,1.0,14,4,21.0,4,1.0,1.0,6.0,70.0,21.0,4.0,16.0,1521,1,14,0,1,0,1,0,1
12,60,28,1.0,1.0,1.0,0.0,12,0,,0,1.0,1.0,,,,2.0,,784,1,12,0,1,0,0,0,0
9,57,31,0.0,0.0,0.0,0.0,12,3,20.0,3,1.0,1.0,2.0,77.0,19.0,4.0,12.0,961,1,12,0,0,1,0,0,1
11,64,24,1.0,1.0,1.0,0.0,12,0,,0,1.0,1.0,,,,2.0,,576,1,12,0,1,0,0,0,0
8,48,40,1.0,1.0,1.0,0.0,5,7,19.0,5,1.0,1.0,9.0,66.0,18.0,4.0,0.0,1600,1,5,1,0,0,0,0,1
12,70,18,1.0,1.0,1.0,0.0,0,0,,0,1.0,0.0,11.0,88.0,17.0,,,324,1,0,0,0,0,0,1,1
5,57,31,1.0,1.0,1.0,0.0,12,3,20.0,3,1.0,1.0,2.0,86.0,28.0,3.0,17.0,961,1,12,0,0,1,1,0,1
12,50,38,1.0,1.0,1.0,0.0,7,1,22.0,1,1.0,1.0,12.0,80.0,30.0,4.0,10.0,1444,1,7,1,0,0,0,0,1
6,73,15,1.0,1.0,1.0,0.0,7,0,,0,1.0,0.0,,,,0.0,,225,1,7,1,0,0,1,0,0
6,60,28,1.0,1.0,1.0,0.0,12,1,21.0,1,1.0,1.0,,,,3.0,,784,1,12,0,0,1,1,0,0
9,45,43,1.0,1.0,1.0,0.0,10,4,18.0,3,1.0,1.0,8.0,71.0,25.0,4.0,7.0,1849,1,10,0,1,0,0,0,1
12,63,25,1.0,1.0,1.0,,7,1,16.0,1,1.0,1.0,,,,4.0,,625,1,7,0,0,1,0,0,0
5,67,21,1.0,1.0,1.0,0.0,10,1,17.0,1,1.0,1.0,,,,1.0,,441,1,10,0,1,0,1,0,0
6,47,41,1.0,1.0,1.0,1.0,18,3,27.0,3,1.0,1.0,1.0,73.0,25.0,4.0,17.0,1681,1,18,0,0,1,1,0,1
11,48,40,1.0,1.0,1.0,1.0,12,3,23.0,3,1.0,1.0,12.0,70.0,22.0,2.0,15.0,1600,1,12,0,0,0,0,0,1
9,63,25,0.0,1.0,0.0,0.0,6,3,19.0,3,1.0,1.0,1.0,87.0,23.0,5.0,7.0,625,1,6,0,0,0,0,0,1
9,53,35,1.0,1.0,1.0,0.0,12,2,20.0,2,1.0,1.0,6.0,71.0,17.0,2.0,15.0,1225,1,12,0,0,0,0,0,1
8,68,20,1.0,1.0,1.0,1.0,7,0,,0,1.0,1.0,,,,4.0,,400,1,7,0,1,0,0,0,0
4,59,29,1.0,1.0,1.0,1.0,0,1,25.0,1,1.0,1.0,,,,2.0,,841,1,0,0,0,0,1,1,0
10,64,24,1.0,1.0,0.0,0.0,12,2,18.0,2,1.0,1.0,7.0,88.0,23.0,4.0,14.0,576,1,12,0,0,0,0,0,1
6,70,18,1.0,1.0,0.0,0.0,8,0,,0,1.0,0.0,,,,,,324,1,8,0,0,0,1,0,0
6,67,21,1.0,1.0,0.0,0.0,12,0,,0,1.0,1.0,,,,4.0,,441,1,12,1,0,0,1,0,0
11,62,26,1.0,1.0,0.0,0.0,10,2,18.0,2,1.0,1.0,8.0,88.0,25.0,6.0,9.0,676,1,10,0,1,0,0,0,1
6,51,37,1.0,1.0,1.0,1.0,12,3,24.0,3,1.0,1.0,3.0,78.0,26.0,4.0,0.0,1369,1,12,0,1,0,1,0,1
11,61,27,1.0,1.0,0.0,0.0,12,2,22.0,2,1.0,1.0,,,,2.0,,729,1,12,1,0,0,0,0,0
7,62,26,1.0,1.0,0.0,0.0,12,2,21.0,2,1.0,1.0,5.0,86.0,23.0,4.0,10.0,676,1,12,0,1,0,0,0,1
7,54,34,1.0,1.0,1.0,0.0,15,1,22.0,1,1.0,1.0,,,,2.0,,1156,1,15,0,1,0,0,0,0
10,54,34,1.0,1.0,1.0,0.0,9,6,15.0,6,1.0,1.0,2.0,70.0,15.0,6.0,12.0,1156,1,9,0,0,1,0,0,1
11,51,37,1.0,1.0,1.0,0.0,12,3,22.0,3,1.0,1.0,9.0,73.0,21.0,3.0,10.0,1369,1,12,0,1,0,0,0,1
6,70,18,1.0,1.0,1.0,0.0,9,0,,0,1.0,1.0,,,,4.0,,324,1,9,1,0,0,1,0,0
3,53,35,1.0,1.0,1.0,0.0,12,3,24.0,3,1.0,1.0,4.0,82.0,29.0,3.0,10.0,1225,1,12,0,0,1,1,0,1
6,66,22,1.0,1.0,1.0,0.0,7,1,19.0,1,1.0,1.0,,,,3.0,,484,1,7,0,1,0,1,0,0
2,40,48,1.0,1.0,1.0,0.0,6,10,16.0,9,1.0,1.0,6.0,56.0,16.0,4.0,7.0,2304,1,6,1,0,0,1,0,1
6,59,29,1.0,1.0,1.0,0.0,12,4,19.0,4,1.0,1.0,7.0,87.0,28.0,4.0,15.0,841,1,12,1,0,0,1,0,1
3,65,23,1.0,1.0,1.0,0.0,5,1,18.0,1,1.0,1.0,,,,4.0,,529,1,5,0,1,0,1,0,0
4,59,29,1.0,1.0,1.0,1.0,12,2,26.0,2,1.0,1.0,4.0,84.0,25.0,3.0,13.0,841,1,12,0,1,0,1,0,1
12,66,21,1.0,1.0,1.0,1.0,12,2,19.0,2,1.0,1.0,1.0,86.0,19.0,3.0,10.0,441,1,12,0,0,0,0,0,1
10,72,16,1.0,1.0,1.0,1.0,10,0,,0,1.0,0.0,,,,2.0,,256,1,10,0,0,0,0,0,0
11,45,43,1.0,1.0,0.0,0.0,7,2,23.0,2,1.0,1.0,6.0,66.0,20.0,4.0,15.0,1849,1,7,0,1,0,0,0,1
10,65,23,1.0,1.0,1.0,1.0,7,1,19.0,1,1.0,1.0,,,,3.0,,529,1,7,1,0,0,0,0,0
12,66,22,1.0,1.0,1.0,1.0,12,0,,0,1.0,0.0,,,,4.0,,484,1,12,0,1,0,0,0,0
4,62,26,1.0,1.0,1.0,0.0,12,1,21.0,1,1.0,1.0,6.0,82.0,20.0,4.0,12.0,676,1,12,0,1,0,1,0,1
8,69,19,1.0,1.0,1.0,1.0,10,0,,0,1.0,1.0,,,,4.0,,361,1,10,1,0,0,0,0,0
2,64,24,0.0,1.0,0.0,0.0,12,1,18.0,1,1.0,1.0,11.0,85.0,21.0,3.0,12.0,576,1,12,0,1,0,1,0,1
5,53,35,1.0,1.0,1.0,1.0,14,3,24.0,3,1.0,1.0,4.0,81.0,27.0,3.0,14.0,1225,1,14,1,0,0,1,0,1
11,69,19,1.0,1.0,1.0,1.0,8,0,,0,1.0,1.0,,,,2.0,,361,1,8,0,1,0,0,0,0
3,64,24,1.0,1.0,1.0,1.0,12,0,,0,1.0,1.0,,,,3.0,,576,1,12,0,1,0,1,0,0
7,54,34,1.0,1.0,1.0,1.0,12,1,30.0,1,1.0,1.0,,,,2.0,,1156,1,12,0,1,0,0,0,0
8,63,25,1.0,1.0,1.0,1.0,12,1,24.0,1,1.0,1.0,,,,5.0,,625,1,12,0,0,1,0,0,0
7,63,25,1.0,1.0,0.0,0.0,5,1,18.0,1,1.0,1.0,,,,5.0,,625,1,5,1,0,0,0,0,0
1,68,20,1.0,1.0,0.0,0.0,7,0,,0,1.0,0.0,,,,2.0,,400,1,7,1,0,0,1,0,0
5,52,36,1.0,1.0,1.0,0.0,12,3,22.0,3,1.0,1.0,5.0,73.0,21.0,3.0,12.0,1296,1,12,1,0,0,1,0,1
10,60,28,1.0,1.0,1.0,0.0,16,2,21.0,1,1.0,1.0,6.0,83.0,22.0,3.0,10.0,784,1,16,0,1,0,0,0,1
3,60,28,1.0,1.0,0.0,0.0,12,2,23.0,2,1.0,1.0,7.0,81.0,21.0,2.0,12.0,784,1,12,0,0,1,1,0,1
8,47,41,1.0,1.0,1.0,1.0,12,3,17.0,3,1.0,1.0,9.0,64.0,17.0,3.0,12.0,1681,1,12,0,0,1,0,0,1
8,57,31,1.0,0.0,1.0,1.0,12,1,27.0,1,1.0,1.0,12.0,78.0,21.0,1.0,12.0,961,1,12,0,0,1,0,0,1
9,40,48,1.0,1.0,1.0,0.0,12,2,21.0,2,1.0,1.0,9.0,60.0,20.0,2.0,12.0,2304,1,12,0,1,0,0,0,1
6,59,29,1.0,1.0,1.0,1.0,12,2,18.0,2,1.0,1.0,12.0,76.0,17.0,2.0,12.0,841,1,12,0,0,1,1,0,1
5,44,44,1.0,1.0,0.0,0.0,5,1,28.0,1,1.0,0.0,3.0,78.0,33.0,11.0,,1936,1,5,0,0,1,1,0,1
10,53,35,1.0,1.0,1.0,1.0,12,3,22.0,3,1.0,1.0,11.0,72.0,19.0,3.0,12.0,1225,1,12,0,0,0,0,0,1
2,66,22,0.0,0.0,0.0,0.0,7,2,18.0,2,1.0,1.0,,,,4.0,,484,1,7,0,0,0,1,0,0
2,61,27,0.0,0.0,0.0,0.0,7,3,19.0,2,1.0,1.0,,,,4.0,,729,1,7,1,0,0,1,0,0
2,73,15,1.0,1.0,1.0,0.0,9,0,,0,1.0,0.0,,,,2.0,,225,1,9,0,0,0,1,0,0
9,48,40,1.0,1.0,1.0,0.0,16,2,30.0,2,1.0,1.0,4.0,78.0,29.0,2.0,14.0,1600,1,16,0,0,0,0,0,1
11,45,42,1.0,1.0,1.0,0.0,16,1,35.0,1,1.0,0.0,9.0,80.0,34.0,2.0,16.0,1764,1,16,0,0,0,0,0,1
8,39,49,1.0,1.0,1.0,0.0,15,2,22.0,2,1.0,1.0,3.0,86.0,46.0,4.0,15.0,2401,1,15,0,1,0,0,0,1
7,65,23,0.0,0.0,0.0,0.0,7,1,20.0,1,1.0,1.0,,,,4.0,,529,1,7,1,0,0,0,0,0
8,56,32,1.0,1.0,1.0,1.0,12,2,24.0,2,1.0,1.0,12.0,79.0,23.0,4.0,12.0,1024,1,12,0,0,1,0,0,1
8,62,26,1.0,1.0,1.0,1.0,10,1,16.0,1,1.0,1.0,1.0,85.0,22.0,1.0,10.0,676,1,10,0,0,1,0,0,1
6,63,25,1.0,1.0,1.0,1.0,7,1,21.0,1,1.0,1.0,7.0,86.0,23.0,4.0,,625,1,7,0,0,0,1,0,1
9,63,25,1.0,1.0,1.0,0.0,9,2,19.0,2,1.0,1.0,4.0,85.0,21.0,5.0,10.0,625,1,9,1,0,0,0,0,1
9,68,20,1.0,1.0,0.0,0.0,10,1,19.0,1,1.0,1.0,4.0,85.0,16.0,2.0,14.0,400,1,10,0,1,0,0,0,1
10,68,20,1.0,1.0,0.0,0.0,7,0,,0,1.0,1.0,7.0,86.0,17.0,2.0,7.0,400,1,7,1,0,0,0,0,1
5,54,34,1.0,1.0,1.0,0.0,12,4,17.0,4,1.0,1.0,6.0,75.0,21.0,4.0,12.0,1156,1,12,1,0,0,1,0,1
6,43,45,1.0,1.0,1.0,1.0,5,5,22.0,5,1.0,1.0,10.0,64.0,21.0,3.0,7.0,2025,1,5,0,0,0,1,0,1
8,65,23,1.0,1.0,1.0,1.0,9,1,20.0,1,0.0,0.0,11.0,82.0,17.0,10.0,,529,1,9,0,0,0,0,0,1
9,66,22,1.0,1.0,1.0,1.0,9,2,16.0,2,1.0,1.0,1.0,82.0,15.0,2.0,9.0,484,1,9,0,0,0,0,0,1
12,71,16,1.0,1.0,1.0,0.0,7,0,,0,1.0,0.0,8.0,88.0,16.0,4.0,12.0,256,1,7,1,0,0,0,0,1
7,43,45,1.0,1.0,1.0,0.0,9,3,26.0,3,0.0,0.0,8.0,70.0,27.0,3.0,10.0,2025,1,9,1,0,0,0,0,1
9,69,19,1.0,1.0,1.0,1.0,10,0,,0,1.0,1.0,,,,3.0,,361,1,10,1,0,0,0,0,0
12,59,28,0.0,0.0,0.0,0.0,3,2,19.0,2,1.0,1.0,,,,4.0,,784,1,3,0,0,0,0,0,0
3,65,23,0.0,1.0,0.0,0.0,11,1,21.0,1,1.0,1.0,1.0,85.0,19.0,4.0,10.0,529,1,11,0,1,0,1,0,1
2,59,29,0.0,1.0,0.0,0.0,0,1,19.0,1,1.0,1.0,,,,6.0,,841,1,0,0,0,0,1,1,0
6,68,20,0.0,1.0,0.0,1.0,7,0,,0,1.0,1.0,10.0,86.0,18.0,6.0,7.0,400,1,7,1,0,0,1,0,1
4,61,27,0.0,0.0,0.0,0.0,10,1,21.0,1,1.0,1.0,,,,3.0,,729,1,10,0,1,0,1,0,0
