faminc,cigtax,cigprice,bwght,fatheduc,motheduc,parity,male,white,cigs,lbwght,bwghtlbs,packs,lfaminc
42.5,10.0,126.4,141,13.0,12.0,2,1,1,0,4.94876,8.8125,0.0,3.749504
65.0,10.0,126.4,120,16.0,16.0,2,0,1,0,4.787492,7.5,0.0,4.1743875
12.5,10.0,126.4,110,12.0,13.0,1,0,1,0,4.7004805,6.875,0.0,2.5257287
27.5,10.0,126.4,120,13.0,14.0,1,0,1,0,4.787492,7.5,0.0,3.314186
27.5,10.0,126.4,125,14.0,18.0,2,1,1,0,4.828314,7.8125,0.0,3.314186
65.0,10.0,126.4,82,15.0,11.0,2,0,0,0,4.406719,5.125,0.0,4.1743875
22.5,10.0,126.4,141,12.0,12.0,1,0,1,0,4.94876,8.8125,0.0,3.1135154
18.5,10.0,126.4,144,7.0,8.0,2,1,1,0,4.9698133,9.0,0.0,2.9177706
13.5,10.0,126.4,102,12.0,12.0,2,0,1,0,4.624973,6.375,0.0,2.6026897
18.5,10.0,126.4,121,12.0,10.0,1,1,1,0,4.7957907,7.5625,0.0,2.9177706
27.5,10.0,126.4,80,14.0,12.0,1,0,0,0,4.3820267,5.0,0.0,3.314186
22.5,10.0,126.4,106,12.0,12.0,2,0,1,0,4.6634393,6.625,0.0,3.1135154
65.0,10.0,126.4,116,15.0,12.0,1,0,1,0,4.75359,7.25,0.0,4.1743875
32.5,10.0,126.4,116,12.0,12.0,1,0,1,10,4.75359,7.25,0.5,3.48124
22.5,10.0,126.4,123,13.0,13.0,2,1,1,0,4.8121843,7.6875,0.0,3.1135154
37.5,10.0,126.4,132,12.0,15.0,1,0,1,0,4.882802,8.25,0.0,3.624341
47.5,10.0,126.4,118,11.0,10.0,2,1,1,20,4.7706847,7.375,1.0,3.8607297
65.0,10.0,126.4,131,18.0,17.0,2,1,1,0,4.8751974,8.1875,0.0,4.1743875
32.5,10.0,126.4,152,18.0,14.0,1,1,0,0,5.0238805,9.5,0.0,3.48124
10.5,10.0,126.4,120,4.0,12.0,3,1,1,0,4.787492,7.5,0.0,2.3513753
22.5,10.0,126.4,145,12.0,12.0,1,0,1,0,4.9767337,9.0625,0.0,3.1135154
37.5,10.0,126.4,124,14.0,16.0,1,1,0,0,4.8202815,7.75,0.0,3.624341
65.0,10.0,126.4,142,18.0,9.0,1,1,1,0,4.955827,8.875,0.0,4.1743875
65.0,10.0,126.4,117,16.0,18.0,2,0,1,0,4.762174,7.3125,0.0,4.1743875
10.5,10.0,126.4,100,12.0,7.0,1,0,1,0,4.6051702,6.25,0.0,2.3513753
32.5,10.0,126.4,120,16.0,13.0,1,1,1,0,4.787492,7.5,0.0,3.48124
32.5,10.0,126.4,145,16.0,13.0,1,1,1,0,4.9767337,9.0625,0.0,3.48124
65.0,10.0,126.4,123,18.0,16.0,1,1,1,0,4.8121843,7.6875,0.0,4.1743875
47.5,10.0,126.4,166,17.0,14.0,2,1,1,0,5.1119876,10.375,0.0,3.8607297
32.5,10.0,126.4,103,13.0,14.0,2,0,1,8,4.634729,6.4375,0.4,3.48124
6.5,10.0,126.4,133,,10.0,2,1,1,0,4.890349,8.3125,0.0,1.8718022
12.5,10.0,126.4,112,5.0,7.0,2,0,0,0,4.7184987,7.0,0.0,2.5257287
47.5,10.0,126.4,119,14.0,11.0,1,1,1,0,4.7791233,7.4375,0.0,3.8607297
19.5,10.0,126.4,123,12.0,12.0,1,1,1,0,4.8121843,7.6875,0.0,2.9704144
7.5,10.0,126.4,107,7.0,,1,0,1,0,4.6728287,6.6875,0.0,2.014903
8.5,10.0,126.4,145,8.0,9.0,3,1,1,0,4.9767337,9.0625,0.0,2.1400661
19.5,10.0,126.4,133,,14.0,1,0,1,0,4.890349,8.3125,0.0,2.9704144
65.0,10.0,126.4,146,16.0,13.0,4,1,1,0,4.983607,9.125,0.0,4.1743875
32.5,10.0,126.4,134,12.0,14.0,1,0,1,0,4.89784,8.375,0.0,3.48124
65.0,10.0,126.4,140,14.0,14.0,1,1,1,0,4.9416423,8.75,0.0,4.1743875
19.5,10.0,126.4,95,10.0,12.0,3,0,0,0,4.553877,5.9375,0.0,2.9704144
17.5,10.0,126.4,126,13.0,13.0,2,0,0,0,4.836282,7.875,0.0,2.862201
27.5,10.0,126.4,134,12.0,15.0,1,0,1,0,4.89784,8.375,0.0,3.314186
12.5,10.0,126.4,64,6.0,7.0,1,1,1,0,4.158883,4.0,0.0,2.5257287
27.5,10.0,126.4,119,,15.0,1,0,1,4,4.7791233,7.4375,0.2,3.314186
32.5,10.0,126.4,140,13.0,16.0,2,1,1,0,4.9416423,8.75,0.0,3.48124
22.5,10.0,126.4,120,6.0,6.0,3,0,1,0,4.787492,7.5,0.0,3.1135154
18.5,10.0,126.4,103,13.0,14.0,2,0,1,0,4.634729,6.4375,0.0,2.9177706
32.5,10.0,126.4,68,12.0,12.0,2,1,1,20,4.2195077,4.25,1.0,3.48124
42.5,10.0,126.4,97,14.0,12.0,1,0,0,0,4.574711,6.0625,0.0,3.749504
37.5,10.0,126.4,120,12.0,12.0,2,0,1,0,4.787492,7.5,0.0,3.624341
32.5,10.0,126.4,121,15.0,14.0,1,0,1,0,4.7957907,7.5625,0.0,3.48124
9.5,10.0,126.4,130,,8.0,2,1,1,0,4.8675346,8.125,0.0,2.2512918
15.5,10.0,126.4,115,12.0,12.0,1,0,1,10,4.744932,7.1875,0.5,2.74084
65.0,10.0,126.4,112,16.0,18.0,2,1,0,0,4.7184987,7.0,0.0,4.1743875
65.0,10.0,126.4,120,12.0,12.0,1,1,1,0,4.787492,7.5,0.0,4.1743875
22.5,10.0,126.4,103,13.0,13.0,3,0,1,12,4.634729,6.4375,0.6,3.1135154
32.5,10.0,126.4,100,12.0,12.0,1,0,1,0,4.6051702,6.25,0.0,3.48124
65.0,10.0,126.4,117,13.0,16.0,1,0,1,0,4.762174,7.3125,0.0,4.1743875
65.0,10.0,126.4,126,18.0,18.0,1,0,1,0,4.836282,7.875,0.0,4.1743875
5.5,10.0,126.4,142,,13.0,2,1,1,0,4.955827,8.875,0.0,1.704748
22.5,10.0,126.4,120,12.0,13.0,1,1,0,0,4.787492,7.5,0.0,3.1135154
13.5,10.0,126.4,111,3.0,4.0,5,1,0,0,4.7095304,6.9375,0.0,2.6026897
65.0,10.0,126.4,152,12.0,12.0,2,1,1,0,5.0238805,9.5,0.0,4.1743875
65.0,10.0,126.4,124,18.0,17.0,1,0,1,0,4.8202815,7.75,0.0,4.1743875
27.5,10.0,126.4,146,13.0,12.0,2,1,1,0,4.983607,9.125,0.0,3.314186
27.5,10.0,126.4,102,15.0,16.0,1,1,1,0,4.624973,6.375,0.0,3.314186
27.5,10.0,126.4,129,12.0,6.0,2,1,1,0,4.8598123,8.0625,0.0,3.314186
10.5,10.0,126.4,125,12.0,12.0,3,1,1,0,4.828314,7.8125,0.0,2.3513753
9.5,10.0,126.4,126,16.0,14.0,3,0,0,0,4.836282,7.875,0.0,2.2512918
0.5,10.0,126.4,101,,3.0,1,0,1,0,4.6151204,6.3125,0.0,-0.6931472
32.5,10.0,126.4,113,16.0,12.0,2,1,1,0,4.727388,7.0625,0.0,3.48124
19.5,10.0,126.4,136,12.0,12.0,3,0,0,0,4.912655,8.5,0.0,2.9704144
42.5,10.0,126.4,101,5.0,9.0,4,0,1,0,4.6151204,6.3125,0.0,3.749504
65.0,10.0,126.4,106,18.0,18.0,1,1,1,0,4.6634393,6.625,0.0,4.1743875
65.0,10.0,126.4,100,16.0,18.0,2,0,1,0,4.6051702,6.25,0.0,4.1743875
42.5,10.0,126.4,130,15.0,14.0,1,0,1,0,4.8675346,8.125,0.0,3.749504
37.5,10.0,126.4,136,17.0,12.0,3,0,0,0,4.912655,8.5,0.0,3.624341
6.5,10.0,126.4,100,,10.0,2,1,0,0,4.6051702,6.25,0.0,1.8718022
65.0,10.0,126.4,122,16.0,16.0,1,0,1,0,4.804021,7.625,0.0,4.1743875
1.5,10.0,126.4,90,,11.0,1,0,0,0,4.4998097,5.625,0.0,0.4054651
65.0,20.0,130.8,94,13.0,12.0,1,0,1,0,4.543295,5.875,0.0,4.1743875
32.5,20.0,130.8,108,9.0,13.0,1,1,1,0,4.6821313,6.75,0.0,3.48124
65.0,20.0,130.8,107,18.0,18.0,2,1,1,0,4.6728287,6.6875,0.0,4.1743875
17.5,20.0,130.8,119,13.0,12.0,4,1,1,20,4.7791233,7.4375,1.0,2.862201
18.5,20.0,130.8,106,12.0,12.0,1,0,1,0,4.6634393,6.625,0.0,2.9177706
13.5,20.0,130.8,113,12.0,12.0,2,1,1,0,4.727388,7.0625,0.0,2.6026897
10.5,20.0,130.8,132,12.0,12.0,1,1,1,0,4.882802,8.25,0.0,2.3513753
18.5,20.0,130.8,99,13.0,9.0,3,0,0,0,4.59512,6.1875,0.0,2.9177706
13.5,20.0,130.8,110,11.0,11.0,3,0,1,10,4.7004805,6.875,0.5,2.6026897
32.5,20.0,130.8,76,13.0,18.0,1,0,1,10,4.3307333,4.75,0.5,3.48124
15.5,20.0,130.8,123,13.0,12.0,1,1,1,0,4.8121843,7.6875,0.0,2.74084
10.5,20.0,130.8,123,12.0,12.0,1,1,1,0,4.8121843,7.6875,0.0,2.3513753
32.5,20.0,130.8,129,15.0,12.0,1,1,1,0,4.8598123,8.0625,0.0,3.48124
13.5,20.0,130.8,95,,11.0,3,1,0,0,4.553877,5.9375,0.0,2.6026897
16.5,20.0,130.8,118,,13.0,2,1,1,0,4.7706847,7.375,0.0,2.8033605
6.5,20.0,130.8,115,12.0,12.0,3,0,0,20,4.744932,7.1875,1.0,1.8718022
8.5,20.0,130.8,133,,11.0,1,1,1,0,4.890349,8.3125,0.0,2.1400661
22.5,20.0,130.8,139,12.0,13.0,1,1,1,0,4.934474,8.6875,0.0,3.1135154
27.5,20.0,130.8,124,16.0,18.0,2,1,1,0,4.8202815,7.75,0.0,3.314186
12.5,26.0,142.0,60,,10.0,1,1,1,20,4.0943446,3.75,1.0,2.5257287
19.5,26.0,142.0,87,14.0,12.0,1,0,1,0,4.465908,5.4375,0.0,2.9704144
65.0,26.0,142.0,130,18.0,16.0,1,1,1,0,4.8675346,8.125,0.0,4.1743875
65.0,26.0,142.0,110,13.0,16.0,1,1,1,0,4.7004805,6.875,0.0,4.1743875
15.5,26.0,142.0,73,15.0,12.0,1,0,0,0,4.2904596,4.5625,0.0,2.74084
37.5,26.0,142.0,126,14.0,11.0,1,1,1,0,4.836282,7.875,0.0,3.624341
47.5,26.0,142.0,125,12.0,13.0,1,1,1,0,4.828314,7.8125,0.0,3.8607297
47.5,26.0,142.0,166,10.0,13.0,2,0,1,0,5.1119876,10.375,0.0,3.8607297
37.5,26.0,142.0,122,13.0,13.0,1,0,1,0,4.804021,7.625,0.0,3.624341
32.5,26.0,142.0,120,12.0,12.0,2,1,0,4,4.787492,7.5,0.2,3.48124
