widegt_id,life_hrs
ylmf-c995,150
vmau-r581,196
zqvn-t413,318
rklp-g906,262
wwjp-d649,73
flgn-i289,564
vnfl-c875,39
nmmz-u827,297
tusi-b151,78
hhao-x832,121
yuoq-d818,82
bjdw-j603,62
wsek-s692,73
lyan-h850,94
vuno-o664,187
cegn-n884,112
vrny-z187,71
bjhs-h537,43
sanb-i205,91
zkbb-q480,48
wkai-g984,149
hgkv-k710,151
kdfp-o931,93
fxey-o431,619
airr-l546,21
pdld-o967,397
xeph-a160,25
lftf-k845,78
eujo-d116,171
gkzp-u897,404
lbfu-r735,16
cmrp-l829,18
zxlv-b362,85
fyii-t512,70
jsfy-k279,235
dovi-g776,61
vinu-p575,25
iefm-y217,73
plto-u476,561
nurn-t375,211
mxmy-m766,45
wenj-u406,35
ehff-h552,132
tlfc-x612,1
spum-g120,270
dxut-q264,218
nhyh-s530,94
xnfm-z580,133
luxv-f895,10
xxic-l696,287
dlqi-j530,141
spnc-x892,240
fiut-o190,97
kkxk-i524,90
vsxz-y724,93
zvaw-p939,131
ouuz-m258,751
rvwb-b423,90
udbj-y877,98
rucx-f335,25
zqwi-v428,180
nqkd-b334,122
tpyh-p364,247
codp-v517,205
wqjj-r868,208
ictg-u842,256
apph-o777,372
abom-g303,95
zfkv-x569,307
xqtb-g875,118
dzee-b629,473
mcgs-b142,169
jtic-s461,76
iabn-h598,442
qret-d762,14
fpwn-y420,135
igog-e899,238
tgyx-v565,138
hqeh-o839,271
tuge-y443,77
fegm-m382,361
yhti-k436,222
cjsq-a360,308
rxyp-i992,82
ghvj-q216,140
ocis-y814,66
apfm-h517,158
ocbi-s218,281
rhvq-r113,64
chva-v981,275
wjvt-y502,13
ybzc-r888,124
ixnq-f581,59
hidr-o874,94
xdxx-u560,168
wjkh-w852,265
pzbg-h805,79
kdvp-l158,143
vbgw-p939,199
tpex-x308,375
cjai-c565,11
uryi-y279,19
zuic-p567,378
czyw-k972,133
aeyp-b693,108
usxo-s606,194
hebk-t604,353
bhol-p775,60
qvdd-g562,37
vvzg-a391,668
ntij-n931,9
lhhg-b629,66
dqwp-c582,165
eird-n145,362
iubq-j790,43
addt-j450,49
ynxf-w695,23
dutr-t943,48
kwai-e694,156
nzcd-g943,46
pwzf-v924,163
miwr-t642,49
uuym-m361,287
diih-d929,68
vlpg-s854,100
hkvz-k982,229
qvhi-h129,200
peib-n132,323
hnci-w620,544
vqdl-b959,268
pubo-b236,3
bhvh-l748,766
telf-c291,52
zvbd-c993,247
yadc-b201,235
axea-z130,101
hyok-h526,26
fqyu-r680,117
xbfx-r223,6
alzk-a195,206
fhsg-u836,155
msof-g844,154
fnfb-y558,162
dpsk-g188,435
vzhj-g674,490
wtnx-t219,784
jdlc-x748,25
ctqd-j333,197
xljc-q136,320
yxzd-g456,46
edxz-j793,25
kcxi-f391,140
jmum-o665,44
hiac-g662,190
owlx-n906,64
ueoc-k449,265
vcws-a852,51
okoq-u143,436
jabj-p326,227
efla-y940,177
tehe-i959,141
tuaj-j944,64
xxyi-w655,31
wacc-q633,223
inbg-k815,102
kbpb-i510,174
wqtg-z830,14
vzke-v541,70
olzs-n280,183
sdoz-m861,87
qsyc-k832,302
sdie-i623,513
fguq-g685,294
qbth-p150,36
vrjt-j841,225
eqsr-f312,18
fraj-a983,68
ihwo-l579,28
dsej-x822,69
iycb-n303,96
roza-n924,546
guqw-h596,56
vhjl-g209,124
mruz-a448,25
ekxv-t231,2
hbgk-y716,244
uxsr-u429,35
seoq-t832,369
sfbs-f873,487
ebfv-s482,280
ycso-u345,203
ngxe-v377,163
yzdt-g661,14
gbti-p324,61
prtt-b320,314
bbvl-p185,158
zatf-t888,358
ojcx-l741,248
kmta-d833,19
ubas-b525,0
dgjt-c752,286
lhty-l536,56
zrxi-o734,49
uwxu-x864,479
kwrg-t179,435
bmoo-v754,311
itee-i442,113
qvqr-g199,157
jdcu-p476,55
gtgu-x169,345
oxva-l324,444
ckfp-i835,292
tqaq-i100,32
wqti-j530,75
luaj-u414,3
hfjo-c912,119
torr-z895,82
salw-c410,56
embn-t963,128
uubs-k984,15
nkkl-h111,6
skde-t299,54
ygat-c410,214
kfgr-e394,270
neko-q884,327
mzek-u630,44
fckh-x673,211
huyi-s277,186
vugh-c899,149
jkpb-q147,360
zjsj-t220,145
tfxi-r365,30
tell-m966,39
rblm-o259,118
qynp-n995,157
pcgo-w943,386
unea-k594,13
unjo-h647,366
zckw-t911,266
tdbj-o478,62
qszv-v918,61
fvae-n120,399
aoyb-y372,139
pqhr-o932,211
ylgv-d186,156
ivph-z633,466
nfit-g472,20
gmdl-m478,152
ovqt-a347,112
alye-w308,418
wyou-i777,251
exsg-z253,113
ovnz-p568,123
hhyk-r466,139
njip-m481,110
vhqk-w968,136
sjtm-n272,285
xrwm-e370,86
zlhd-k151,63
fzrf-m865,31
fmjo-k699,238
gtej-j434,89
xpqp-u363,78
yhat-l659,133
vzqu-r530,94
mfvs-r575,145
inti-v719,48
doio-h448,70
npky-v770,75
eoch-a921,34
yohh-l180,190
dwre-x962,30
iidl-z673,375
drqd-a633,245
jqkf-u632,122
vjhw-n241,75
hbsi-o565,423
uksw-t903,316
gxzy-m284,28
esbp-g670,387
tefs-q491,38
wjjs-a117,80
vvoq-i364,46
vsyo-o413,301
omjq-l566,101
cjxv-l544,172
scou-p624,231
obgn-j506,47
nkge-c978,68
abob-u262,2
bbwg-c686,314
rosq-r464,91
pdiw-u590,30
tjqx-z750,163
bpzo-k827,235
iwvm-d858,211
iccn-s842,33
skni-f181,110
ntua-l385,74
ebxc-c677,5
kuqp-t532,24
zyix-a932,318
tnzx-v373,73
xycg-n250,283
vxqc-j638,18
fyyv-i515,101
leqx-a146,169
ohce-y109,146
ovpv-w436,75
aqbj-c847,208
cczn-s414,72
sann-y548,38
ryph-j154,248
gioo-q908,78
ypqw-g287,62
wlot-e516,223
bfbt-c337,72
rilo-o167,152
qger-h419,63
fqiw-m844,429
ywli-x261,27
kdex-r693,112
mvkc-g227,126
tuhw-q993,253
vdcd-u791,15
zsss-a951,44
kbmz-p435,188
dlgx-o976,284
ynsz-s184,8
bzom-m880,50
ebfl-k100,264
hxew-n308,54
sjce-k795,209
azdg-t457,160
dgaa-u878,195
mhrv-e435,47
jidz-x841,96
nfqz-n694,211
mkig-b941,552
tjzo-n923,153
fvtx-q276,180
fvmd-d934,83
cvkv-n202,140
ngek-q307,127
ncda-v467,18
xijb-x357,63
maol-i225,91
sxab-y936,270
tpeu-k295,311
utog-x927,40
ywhq-s966,69
rryg-f347,42
rqwn-l369,65
eqfi-y544,21
lfxg-b777,59
earx-w411,223
xhus-r869,18
ffcf-z173,243
fiwh-a933,198
nilq-g925,448
utkb-x183,235
wdtg-n223,332
agtc-d712,303
zlkc-h372,155
ojba-f409,36
hxjo-f935,390
qpcw-s671,117
cbed-r706,150
vpuq-l721,48
tsij-j642,115
aulc-w146,287
tjag-q636,38
uglc-d117,5
ambt-z805,307
twbc-o146,97
wzwq-h157,344
kdgf-x317,260
lyap-e622,74
yupm-d508,130
zdho-a884,68
ebya-g385,28
usbw-n722,471
aurf-n805,245
agzb-n413,149
zgiy-s337,425
yawe-d567,84
aqaf-o534,103
xelp-w389,415
emeb-m572,685
tkgm-k472,68
yamq-k446,24
capa-e140,83
gnuz-j759,38
qxvl-r502,10
xvid-q267,26
qebg-q732,323
rvek-c214,89
hpfg-u706,212
fdzq-f626,60
kkek-p581,317
hlos-c787,160
nguj-w191,522
kgzu-x654,66
khro-a696,60
tcpk-t192,31
zsnz-a724,90
rcko-o212,65
flly-h505,71
aofr-b477,74
rczh-j568,522
qxcm-d910,231
nscv-s702,12
lbrr-e286,44
qcne-u753,146
hiif-a622,275
godz-i694,147
xhhc-l542,62
ngau-y640,88
bxkc-p842,808
kdxc-d359,185
kbea-z312,238
tcpn-x404,128
xeki-k482,382
hxze-k733,32
kdcv-w916,99
sjcs-r206,125
ljji-n699,41
dzlt-e861,71
undf-u773,79
gyfc-r529,323
bxmf-s388,12
pmbz-v993,31
dies-c114,88
gcmc-c484,85
bkqm-p510,214
brhs-y327,0
zryc-f105,65
zwhf-j314,457
gtkg-n244,83
guyj-f223,37
gegj-p779,148
nbhr-v232,198
hudh-o618,154
qslc-i935,23
yenl-e313,149
lwwn-i729,83
lfsm-r687,281
mbub-n739,99
pfur-w263,570
epuu-i786,107
fvpo-p111,100
rdrx-f821,149
qffy-z458,5
ddjw-y909,17
ggbc-r439,273
nkib-h865,487
mhgg-y304,59
zbak-n982,141
jats-q783,121
gado-h812,194
apyy-j813,16
fugn-i411,330
owye-i829,81
piew-s165,67
kcwn-s919,429
uekc-b578,154
zvsv-y255,173
yius-s859,67
ieog-m985,123
whns-o928,57
lcys-f524,270
baxw-v484,109
jjte-s785,17
vwka-p835,156
zqkb-j589,270
ttds-t960,249
dvom-l427,147
gxvg-x330,118
mzbf-n266,89
mdvm-f742,76
dzta-s388,44
wvii-q338,15
fshl-w789,156
rbkp-j968,120
octn-p866,36
sygi-f139,601
hsvl-g927,28
fhhh-y288,86
ywqh-j422,289
akiw-i906,122
zmpc-i770,101
jslm-z415,286
xqjg-v411,36
oupm-h179,295
hkpi-y273,47
irov-l323,511
cmzs-w941,162
fkiv-u375,477
qwms-k627,234
clka-w449,305
yrjj-g962,146
mxbm-p956,507
nqgs-a703,116
ublz-b603,273
jshc-z132,17
gzxv-x120,76
uwqc-z903,390
